T,T1,code,name,boards_T,theme,amount_yi,yizi,gonggao,natural,open_pct_T1,open_T1,high_T1,low_T1,close_T1,prev_close_T1,cont_T1,in_zt_T1,dead_h,dead_names,down_h,anchor_type,anchor_name
2025-12-12,2025-12-15,001208,华菱线缆,2,商业航天,0.86,True,False,True,10.02,17.905,17.905,17.905,17.905,16.275,True,True,5,东百集团5,2,anchor_nat_yizi,中利集团
2025-12-12,2025-12-15,002309,中利集团,2,商业航天,1.68,True,False,True,-0.25,3.99,3.99,3.6,3.79,4.0,False,False,5,东百集团5,2,anchor_nat_yizi,中利集团
2025-12-12,2025-12-15,002471,中超控股,2,燃气轮机,10.06,False,False,True,9.98,5.84,5.84,5.84,5.84,5.31,True,True,5,东百集团5,2,anchor_nat_yizi,中利集团
2025-12-12,2025-12-15,002639,雪人集团,2,核电,32.23,False,False,True,10.02,19.98,19.98,19.16,19.98,18.16,True,True,5,东百集团5,2,anchor_nat_yizi,中利集团
2025-12-12,2025-12-15,300265,通光线缆,2,商业航天,22.5,False,False,True,0.69,14.51,14.85,13.14,13.64,14.41,False,False,5,东百集团5,2,anchor_nat_yizi,中利集团
2025-12-12,2025-12-15,600343,航天动力,2,商业航天,59.53,False,False,True,-2.79,39.0,39.93,36.37,38.1,40.12,False,False,5,东百集团5,2,anchor_nat_yizi,中利集团
2025-12-12,2025-12-15,600865,百大集团,2,零售,6.69,False,False,True,-2.44,11.59,13.07,11.4,13.07,11.88,True,True,5,东百集团5,2,anchor_nat_yizi,中利集团
2025-12-12,2025-12-15,600936,广西广电,2,机器人概念,6.57,False,False,True,1.7,4.18,4.52,4.18,4.52,4.11,True,True,5,东百集团5,2,anchor_nat_yizi,中利集团
2025-12-12,2025-12-15,603929,亚翔集成,2,芯片,7.07,False,False,True,0.0,89.19,92.99,86.03,87.07,89.19,False,False,5,东百集团5,2,anchor_nat_yizi,中利集团
2025-12-16,2025-12-17,000890,法尔胜,4,通信,1.58,True,False,True,-9.56,6.43,7.82,6.4,7.2,7.11,False,False,6,再升科技6,4,anchor_nat_yizi,法尔胜
2025-12-16,2025-12-17,001208,华菱线缆,4,商业航天,14.05,False,False,True,0.15,19.735,21.635,19.515,20.735,19.705,False,False,6,再升科技6,4,anchor_nat_yizi,法尔胜
2025-12-16,2025-12-17,600865,百大集团,4,零售,1.23,True,False,True,10.01,15.82,15.82,15.11,15.82,14.38,True,True,6,再升科技6,4,anchor_nat_yizi,法尔胜
2025-12-19,2025-12-22,002188,中天服务,3,地产链,3.02,False,False,True,10.04,8.22,8.22,6.72,6.73,7.47,False,False,6,百大集团6,3,anchor_nat_yizi,鹭燕医药
2025-12-19,2025-12-22,002788,鹭燕医药,3,医药,0.49,True,False,True,4.51,15.98,16.82,15.64,16.82,15.29,True,True,6,百大集团6,3,anchor_nat_yizi,鹭燕医药
2025-12-19,2025-12-22,002910,庄园牧场,3,食品饮料,5.47,False,False,True,0.29,13.69,15.02,13.69,15.02,13.65,True,True,6,百大集团6,3,anchor_nat_yizi,鹭燕医药
2025-12-19,2025-12-22,002969,嘉美包装,3,实控人变更,0.17,True,True,False,10.05,6.68,6.68,6.68,6.68,6.07,True,True,6,百大集团6,3,anchor_nat_yizi,鹭燕医药
2025-12-19,2025-12-22,603585,苏利股份,3,农业,6.05,False,False,True,-4.42,21.41,21.96,20.16,20.16,22.4,False,False,6,百大集团6,3,anchor_nat_yizi,鹭燕医药
2025-12-22,2025-12-23,002788,鹭燕医药,4,医药,17.02,False,False,True,1.07,17.0,18.5,15.92,18.5,16.82,True,True,4,浙江世宝4,4,anchor_reorg,嘉美包装
2025-12-22,2025-12-23,002910,庄园牧场,4,食品饮料,5.05,False,False,True,6.39,15.98,16.01,13.52,13.55,15.02,False,False,4,浙江世宝4,4,anchor_reorg,嘉美包装
2025-12-22,2025-12-23,002969,嘉美包装,4,实控人变更,0.11,True,True,False,10.03,7.35,7.35,7.35,7.35,6.68,True,True,4,浙江世宝4,4,anchor_reorg,嘉美包装
2025-12-24,2025-12-25,000551,创元科技,3,洁净室,1.54,True,False,True,0.13,15.12,16.62,15.1,16.62,15.1,True,True,5,鹭燕医药5,3,anchor_nat_yizi,创元科技
2025-12-24,2025-12-25,002228,合兴包装,3,海峡两岸,5.46,False,False,True,10.08,6.55,6.55,6.55,6.55,5.95,True,True,5,鹭燕医药5,3,anchor_nat_yizi,创元科技
2025-12-24,2025-12-25,600179,安通控股,3,海南,15.5,False,False,True,9.06,5.9,5.95,5.5,5.95,5.41,True,True,5,鹭燕医药5,3,anchor_nat_yizi,创元科技
