T,T1,code,name,boards_T,theme,fb,rank_T,n_themes_T,fb_T1,rank_T1,open_pct_T1,yizi,amount_yi,touched,sealed,zhaban,dead_h,down_h,group_size,group_key
2025-12-10,2025-12-11,000905,厦门港务,4,海峡两岸,0,15,14,0,14,2.7,False,22.89,False,False,False,6,4,1,2025-12-10|4板|海峡两岸
2025-12-10,2025-12-11,600693,东百集团,4,零售,3,5,14,1,5,5.31,True,0.6,True,True,False,6,4,1,2025-12-10|4板|零售
2025-12-11,2025-12-12,603601,再升科技,4,商业航天,7,1,13,13,1,4.44,False,6.78,True,True,False,6,4,1,2025-12-11|4板|商业航天
2025-12-12,2025-12-15,000890,法尔胜,2,通信,1,11,19,1,10,10.05,False,3.18,True,True,False,5,2,1,2025-12-12|2板|通信
2025-12-12,2025-12-15,001208,华菱线缆,2,商业航天,13,1,19,5,2,10.02,True,0.86,True,True,False,5,2,4,2025-12-12|2板|商业航天
2025-12-12,2025-12-15,002471,中超控股,2,燃气轮机,9,2,19,0,21,9.98,False,10.06,True,True,False,5,2,1,2025-12-12|2板|燃气轮机
2025-12-12,2025-12-15,002639,雪人集团,2,核电,6,4,19,0,21,10.02,False,32.23,True,True,False,5,2,1,2025-12-12|2板|核电
2025-12-12,2025-12-15,600865,百大集团,2,零售,0,20,19,5,2,-2.44,False,6.69,True,True,False,5,2,1,2025-12-12|2板|零售
2025-12-12,2025-12-15,600936,广西广电,2,机器人概念,1,11,19,0,21,1.7,False,6.57,True,True,False,5,2,1,2025-12-12|2板|机器人概念
2025-12-12,2025-12-15,603929,亚翔集成,2,芯片,6,4,19,2,6,0.0,False,7.07,False,False,False,5,2,1,2025-12-12|2板|芯片
2025-12-16,2025-12-17,000890,法尔胜,4,通信,0,10,9,8,1,-9.56,True,1.58,True,False,True,6,4,1,2025-12-16|4板|通信
2025-12-16,2025-12-17,001208,华菱线缆,4,商业航天,5,3,9,2,4,0.15,False,14.05,True,False,True,6,4,1,2025-12-16|4板|商业航天
2025-12-16,2025-12-17,600865,百大集团,4,零售,6,2,9,0,20,10.01,True,1.23,True,True,False,6,4,1,2025-12-16|4板|零售
2025-12-19,2025-12-22,002188,中天服务,3,地产链,4,2,26,0,22,10.04,False,3.02,True,False,True,6,3,1,2025-12-19|3板|地产链
2025-12-19,2025-12-22,002788,鹭燕医药,3,医药,1,14,26,0,22,4.51,True,0.49,True,True,False,6,3,1,2025-12-19|3板|医药
2025-12-19,2025-12-22,002910,庄园牧场,3,食品饮料,2,7,26,1,11,0.29,False,5.47,True,True,False,6,3,1,2025-12-19|3板|食品饮料
2025-12-19,2025-12-22,603585,苏利股份,3,农业,2,7,26,0,22,-4.42,False,6.05,False,False,False,6,3,1,2025-12-19|3板|农业
2025-12-22,2025-12-23,002788,鹭燕医药,4,医药,0,22,21,0,18,1.07,False,17.02,True,True,False,4,4,1,2025-12-22|4板|医药
2025-12-22,2025-12-23,002910,庄园牧场,4,食品饮料,1,11,21,1,8,6.39,False,5.05,False,False,False,4,4,1,2025-12-22|4板|食品饮料
2025-12-24,2025-12-25,603163,圣晖集成,3,洁净室,1,9,22,0,20,2.41,False,2.9,True,True,False,5,3,2,2025-12-24|3板|洁净室
2025-12-24,2025-12-25,002228,合兴包装,3,海峡两岸,8,2,22,0,20,10.08,False,5.46,True,True,False,5,3,2,2025-12-24|3板|海峡两岸
2025-12-24,2025-12-25,600179,安通控股,3,海南,1,9,22,0,20,9.06,False,15.5,True,True,False,5,3,1,2025-12-24|3板|海南
2025-12-30,2025-12-31,002931,锋龙股份,5,机器人概念,12,1,14,4,3,9.99,True,0.04,True,True,False,8,5,1,2025-12-30|5板|机器人概念
2025-12-30,2025-12-31,603278,大业股份,5,商业航天,6,2,14,15,1,9.94,False,4.06,True,True,False,8,5,1,2025-12-30|5板|商业航天
2026-01-14,2026-01-15,002115,三维通信,4,人工智能,25,1,27,1,8,7.2,True,1.49,False,False,False,13,4,4,2026-01-14|4板|人工智能
2026-01-15,2026-01-16,002218,拓日新能,2,商业航天,1,8,22,1,7,10.0,False,3.44,True,False,True,5,2,2,2026-01-15|2板|商业航天
2026-01-15,2026-01-16,600410,华胜天成,2,人工智能,1,8,22,1,7,-1.97,True,8.75,False,False,False,5,2,2,2026-01-15|2板|人工智能
2026-01-15,2026-01-16,605287,德才股份,2,基础建设,0,23,22,0,12,0.0,False,4.57,False,False,False,5,2,1,2026-01-15|2板|基础建设
2026-01-19,2026-01-20,002931,锋龙股份,14,机器人概念,10,2,29,1,10,10.0,True,2.18,True,True,False,5,14,1,2026-01-19|14板|机器人概念
2026-01-26,2026-01-27,600531,豫光金铅,2,黄金,9,1,18,0,14,7.3,True,2.01,True,True,False,18,2,5,2026-01-26|2板|黄金
2026-01-26,2026-01-27,002218,拓日新能,2,光伏,1,11,18,7,2,2.5,True,1.27,True,True,False,18,2,3,2026-01-26|2板|光伏
2026-01-26,2026-01-27,002667,威领股份,2,锂电池,0,19,18,0,14,-2.01,False,2.43,False,False,False,18,2,1,2026-01-26|2板|锂电池
2026-01-26,2026-01-27,003042,中农联合,2,农业,0,19,18,0,14,-8.29,False,5.65,True,True,False,18,2,1,2026-01-26|2板|农业
2026-01-26,2026-01-27,600986,浙文互联,2,人工智能,2,7,18,3,3,6.94,False,63.67,False,False,False,18,2,1,2026-01-26|2板|人工智能
2026-01-26,2026-01-27,688323,瑞华泰,2,商业航天,2,7,18,3,3,-3.57,False,8.31,False,False,False,18,2,1,2026-01-26|2板|商业航天
2026-01-30,2026-02-02,000995,皇台酒业,2,酿酒,0,16,15,1,4,-4.33,False,6.73,True,True,False,8,2,2,2026-01-30|2板|酿酒
2026-01-30,2026-02-02,002995,天地在线,2,人工智能,4,4,15,2,3,1.45,False,19.15,False,False,False,8,2,1,2026-01-30|2板|人工智能
2026-01-30,2026-02-02,603103,横店影视,2,文化传媒,0,16,15,0,14,10.0,False,3.1,True,True,False,8,2,1,2026-01-30|2板|文化传媒
2026-01-30,2026-02-02,603172,万丰股份,2,化工,3,5,15,0,14,9.99,True,0.38,True,True,False,8,2,1,2026-01-30|2板|化工
2026-02-02,2026-02-03,000995,皇台酒业,3,酿酒,1,4,13,0,22,-1.71,False,10.5,True,True,False,5,3,1,2026-02-02|3板|酿酒
2026-02-02,2026-02-03,603103,横店影视,3,文化传媒,0,14,13,0,22,10.02,True,0.75,True,True,False,5,3,1,2026-02-02|3板|文化传媒
2026-02-02,2026-02-03,603172,万丰股份,3,化工,0,14,13,3,5,10.0,True,1.49,True,True,False,5,3,1,2026-02-02|3板|化工
2026-02-04,2026-02-05,000533,顺钠股份,3,智能电网,3,5,20,0,22,0.45,False,10.43,False,False,False,4,3,1,2026-02-04|3板|智能电网
