T,T1,code,name,boards,theme,rank,fb,yizi,amt,amt_rank_layer,n_same_theme_tier,n_theme_ge2,first_seal_sec,seal_rank_theme,anchor_type,down_h,dead_h,is_anchor,cont,score,pts_rank,pts_seal_time,pts_seal_rank,pts_is_anchor,pts_yizi,pts_down_h,pts_anchor_type,pts_theme_compete,pts_amt_rank,score_rank,quintile
2026-03-03,2026-03-04,603318,水发燃气,3,天然气,1,22,1,1.35,4,1,2,-252,1,anchor_nat_yizi,3,3,1,1,93.53,8.82,0.0,14.71,8.82,23.53,5.88,10.59,17.65,3.53,11,1
2026-05-12,2026-05-13,002918,蒙娜丽莎,3,芯片,1,9,1,0.56,4,1,2,-300,1,anchor_nat_yizi,3,5,1,1,93.53,8.82,0.0,14.71,8.82,23.53,5.88,10.59,17.65,3.53,12,1
2026-06-17,2026-06-18,601636,旗滨集团,3,芯片,1,17,1,5.64,8,1,3,-252,1,anchor_nat_yizi,3,4,1,0,93.53,8.82,0.0,14.71,8.82,23.53,5.88,10.59,17.65,3.53,13,1
2026-04-08,2026-04-09,000586,汇源通信,4,通信,2,18,1,0.87,1,1,3,-300,1,anchor_nat_yizi,4,7,1,1,93.38,7.5,0.0,14.71,8.82,23.53,4.41,10.59,17.65,6.18,14,1
2025-10-31,2025-11-03,002790,瑞尔特,4,福建,6,2,1,1.0,2,1,3,-300,1,anchor_nat_yizi,4,5,1,0,92.5,3.97,0.0,14.71,8.82,23.53,4.41,10.59,17.65,8.82,15,1
2025-11-14,2025-11-17,002083,孚日股份,7,锂电池,3,6,1,0.74,1,1,4,-300,1,anchor_nat_yizi,7,8,1,1,92.21,7.5,0.0,14.71,8.82,23.53,3.24,10.59,17.65,6.18,16,1
2026-01-19,2026-01-20,002931,锋龙股份,14,机器人概念,2,10,1,2.18,1,1,2,-241,1,anchor_nat_yizi,14,5,1,1,92.21,7.5,0.0,14.71,8.82,23.53,3.24,10.59,17.65,6.18,17,1
2026-04-20,2026-04-21,600961,株冶集团,3,一季报增长,3,4,1,1.24,4,1,1,-258,1,anchor_nat_yizi,3,7,1,1,92.21,7.5,0.0,14.71,8.82,23.53,5.88,10.59,17.65,3.53,18,1
2026-05-06,2026-05-07,603399,永杉锂业,4,锂电池,6,3,1,1.63,3,1,3,-266,1,anchor_nat_yizi,4,4,1,0,91.62,3.97,0.0,14.71,8.82,23.53,4.41,10.59,17.65,7.94,19,1
2026-02-10,2026-02-11,002455,百川股份,3,化工,4,2,1,1.23,1,1,1,-300,1,anchor_nat_yizi,3,4,1,1,91.32,3.97,0.0,14.71,8.82,23.53,5.88,10.59,17.65,6.18,20,1
2025-11-27,2025-11-28,600828,茂业商业,3,零售,18,0,1,0.41,2,1,2,-251,1,anchor_nat_yizi,3,5,1,1,90.88,0.88,0.0,14.71,8.82,23.53,5.88,10.59,17.65,8.82,21,1
2026-02-02,2026-02-03,603172,万丰股份,3,化工,14,0,1,1.49,2,1,1,-265,1,anchor_nat_yizi,3,5,1,1,90.88,0.88,0.0,14.71,8.82,23.53,5.88,10.59,17.65,8.82,22,1
2026-04-24,2026-04-27,603318,水发燃气,3,燃气轮机,19,0,1,1.84,2,1,1,-241,1,anchor_nat_yizi,3,5,1,1,90.88,0.88,0.0,14.71,8.82,23.53,5.88,10.59,17.65,8.82,23,1
2026-06-02,2026-06-03,603890,春秋电子,3,AI PC,16,0,1,1.15,2,1,2,-265,1,anchor_nat_yizi,3,4,1,0,90.88,0.88,0.0,14.71,8.82,23.53,5.88,10.59,17.65,8.82,24,1
2025-12-16,2025-12-17,000890,法尔胜,4,通信,10,0,1,1.58,2,1,1,-300,1,anchor_nat_yizi,4,6,1,0,90.74,2.21,0.0,14.71,8.82,23.53,4.41,10.59,17.65,8.82,25,1
2025-11-21,2025-11-24,000017,深中华A,3,黄金,12,0,1,0.94,3,1,1,-300,1,anchor_nat_yizi,3,7,1,0,90.0,0.88,0.0,14.71,8.82,23.53,5.88,10.59,17.65,7.94,26,1
2026-07-03,2026-07-06,600793,宜宾纸业,3,造纸,29,0,1,0.59,3,1,1,1,1,anchor_nat_yizi,3,4,1,1,90.0,0.88,0.0,14.71,8.82,23.53,5.88,10.59,17.65,7.94,27,1
2026-07-17,2026-07-20,002677,浙江美大,3,实控人变更,13,0,1,0.55,3,1,1,-300,1,anchor_nat_yizi,3,5,1,0,90.0,0.88,0.0,14.71,8.82,23.53,5.88,10.59,17.65,7.94,28,1
2025-11-28,2025-12-01,002792,通宇通讯,2,商业航天,1,11,1,1.74,4,1,1,-300,1,anchor_nat_yizi,2,4,1,1,89.71,8.82,0.0,14.71,8.82,23.53,2.06,10.59,17.65,3.53,29,1
2025-10-14,2025-10-15,600078,澄星股份,4,固态电池,21,0,1,0.73,2,1,1,-259,1,anchor_nat_yizi,4,4,1,0,89.41,0.88,0.0,14.71,8.82,23.53,4.41,10.59,17.65,8.82,30,1
2026-03-19,2026-03-20,000020,深华发Ａ,4,地产链,11,0,1,0.69,2,1,1,-300,1,anchor_nat_yizi,4,5,1,1,89.41,0.88,0.0,14.71,8.82,23.53,4.41,10.59,17.65,8.82,31,1
2026-04-22,2026-04-23,002081,金螳螂,4,商业航天,17,0,1,3.03,2,1,3,-300,1,anchor_nat_yizi,4,4,1,1,89.41,0.88,0.0,14.71,8.82,23.53,4.41,10.59,17.65,8.82,32,1
2026-03-26,2026-03-27,000720,新能泰山,3,智能电网,4,3,1,1.06,4,1,1,-300,1,anchor_nat_yizi,3,8,1,1,88.68,3.97,0.0,14.71,8.82,23.53,5.88,10.59,17.65,3.53,33,1
2026-07-29,2026-07-30,003032,传智教育,3,AI应用,6,4,1,0.77,4,1,2,-300,1,anchor_nat_yizi,3,4,1,1,88.68,3.97,0.0,14.71,8.82,23.53,5.88,10.59,17.65,3.53,34,1
2025-12-16,2025-12-17,600865,百大集团,4,零售,2,6,1,1.23,3,1,3,-260,1,anchor_nat_yizi,4,6,0,1,88.53,7.5,0.0,14.71,2.21,23.53,4.41,10.59,17.65,7.94,35,1
2026-04-21,2026-04-22,600961,株冶集团,4,一季报增长,10,1,1,3.17,1,1,1,-263,1,anchor_nat_yizi,4,6,1,0,88.09,2.21,0.0,14.71,8.82,23.53,4.41,10.59,17.65,6.18,36,1
2026-02-24,2026-02-25,605033,美邦股份,4,农业,25,0,1,0.94,1,1,1,-267,1,anchor_nat_yizi,4,5,1,0,86.76,0.88,0.0,14.71,8.82,23.53,4.41,10.59,17.65,6.18,37,1
2025-12-10,2025-12-11,600693,东百集团,4,零售,5,3,1,0.6,2,1,5,-264,2,anchor_nat_yizi,4,6,1,1,85.88,3.97,0.0,8.09,8.82,23.53,4.41,10.59,17.65,8.82,38,1
2025-10-24,2025-10-27,000620,盈新发展,5,并购重组,18,0,1,0.36,1,1,1,-300,1,anchor_nat_yizi,5,8,1,1,85.59,0.88,0.0,14.71,8.82,23.53,3.24,10.59,17.65,6.18,39,1
2025-10-29,2025-10-30,000592,平潭发展,5,福建,18,0,1,1.29,1,1,2,-300,1,anchor_nat_yizi,5,7,1,0,85.59,0.88,0.0,14.71,8.82,23.53,3.24,10.59,17.65,6.18,40,1
2025-11-26,2025-11-27,600734,实达集团,5,人工智能,2,5,1,2.71,1,1,4,-244,2,anchor_nat_yizi,5,5,1,0,85.59,7.5,0.0,8.09,8.82,23.53,3.24,10.59,17.65,6.18,41,1
2025-12-19,2025-12-22,002788,鹭燕医药,3,医药,14,1,1,0.49,4,1,1,-300,1,anchor_nat_yizi,3,6,1,1,85.59,0.88,0.0,14.71,8.82,23.53,5.88,10.59,17.65,3.53,42,1
2026-06-03,2026-06-04,603330,天洋新材,3,通信,3,5,1,1.01,5,1,3,-253,2,anchor_nat_yizi,3,3,1,1,85.59,7.5,0.0,8.09,8.82,23.53,5.88,10.59,17.65,3.53,43,1
2026-06-23,2026-06-24,002674,兴业科技,3,芯片,2,9,1,0.19,5,1,2,-300,1,anchor_nat_yizi,3,5,0,1,85.59,7.5,0.0,14.71,2.21,23.53,5.88,10.59,17.65,3.53,44,1
2026-02-12,2026-02-13,600589,大位科技,4,算力,1,11,1,3.45,4,1,1,-247,1,anchor_nat_yizi,4,4,0,0,85.44,8.82,0.0,14.71,2.21,23.53,4.41,10.59,17.65,3.53,45,1
2026-01-30,2026-02-02,603172,万丰股份,2,化工,5,3,1,0.38,5,1,2,-264,1,anchor_nat_yizi,2,8,1,1,84.85,3.97,0.0,14.71,8.82,23.53,2.06,10.59,17.65,3.53,46,1
2026-06-01,2026-06-02,603890,春秋电子,2,AI PC,5,7,1,1.18,8,1,1,-244,1,anchor_nat_yizi,2,5,1,1,84.85,3.97,0.0,14.71,8.82,23.53,2.06,10.59,17.65,3.53,47,1
2026-05-08,2026-05-11,603045,福达合金,4,算力,3,6,1,1.04,1,1,4,-245,3,anchor_nat_yizi,4,5,1,1,83.82,7.5,0.0,5.15,8.82,23.53,4.41,10.59,17.65,6.18,48,1
2026-02-02,2026-02-03,603103,横店影视,3,文化传媒,14,0,1,0.75,3,1,1,-255,1,anchor_nat_yizi,3,5,0,1,83.38,0.88,0.0,14.71,2.21,23.53,5.88,10.59,17.65,7.94,49,1
2025-10-10,2025-10-13,603011,合锻智能,3,核电,7,2,1,1.3,1,1,3,-250,2,anchor_nat_yizi,3,4,1,1,82.94,2.21,0.0,8.09,8.82,23.53,5.88,10.59,17.65,6.18,50,1
2026-05-26,2026-05-27,002388,新亚制程,2,华为概念,17,0,1,0.79,7,1,1,-300,1,anchor_nat_yizi,2,4,1,0,81.76,0.88,0.0,14.71,8.82,23.53,2.06,10.59,17.65,3.53,51,1
2026-07-08,2026-07-09,001229,魅视科技,2,物理AI,20,0,1,0.48,6,1,2,-300,1,anchor_nat_yizi,2,5,1,0,81.76,0.88,0.0,14.71,8.82,23.53,2.06,10.59,17.65,3.53,52,1
2025-11-18,2025-11-19,601566,九牧王,5,海峡两岸,17,0,1,3.03,1,1,3,-266,2,anchor_nat_yizi,5,8,1,1,78.97,0.88,0.0,8.09,8.82,23.53,3.24,10.59,17.65,6.18,53,1
2026-06-23,2026-06-24,002167,东方锆业,3,非金属材料,9,2,1,19.13,1,2,2,-300,1,anchor_nat_yizi,3,5,1,1,78.09,2.21,0.0,14.71,8.82,23.53,5.88,10.59,6.18,6.18,54,1
2025-12-01,2025-12-02,002792,通宇通讯,3,商业航天,6,1,1,0.81,4,1,5,-300,4,anchor_nat_yizi,3,4,1,1,76.18,3.97,0.0,2.21,8.82,23.53,5.88,10.59,17.65,3.53,55,1
2025-11-21,2025-11-24,603216,梦天家居,3,地产链,3,2,0,5.64,2,1,2,-249,1,anchor_nat_yizi,3,7,0,1,75.59,7.5,0.0,14.71,2.21,8.24,5.88,10.59,17.65,8.82,56,1
2025-11-28,2025-12-01,002632,道明光学,2,消费电子,25,0,1,1.34,5,1,1,-300,1,anchor_nat_yizi,2,4,0,1,75.15,0.88,0.0,14.71,2.21,23.53,2.06,10.59,17.65,3.53,57,1
2026-03-05,2026-03-06,605268,王力安防,2,地产链,26,0,1,0.47,7,1,1,-265,1,anchor_nat_yizi,2,4,0,1,75.15,0.88,0.0,14.71,2.21,23.53,2.06,10.59,17.65,3.53,58,1
2026-05-26,2026-05-27,600162,香江控股,2,地产链,17,0,1,0.62,8,1,1,-249,1,anchor_nat_yizi,2,4,0,1,75.15,0.88,0.0,14.71,2.21,23.53,2.06,10.59,17.65,3.53,59,1
2025-12-11,2025-12-12,603601,再升科技,4,商业航天,1,7,0,6.78,2,1,3,2,1,anchor_reorg,4,6,0,1,74.85,8.82,0.0,14.71,2.21,8.24,4.41,10.0,17.65,8.82,60,2
2025-12-19,2025-12-22,002188,中天服务,3,地产链,2,4,0,3.02,3,1,2,9,1,anchor_nat_yizi,3,6,0,0,74.71,7.5,0.0,14.71,2.21,8.24,5.88,10.59,17.65,7.94,61,2
2026-03-26,2026-03-27,603538,美诺华,3,医药,2,4,0,10.14,3,1,1,222,1,anchor_nat_yizi,3,8,0,1,74.71,7.5,0.0,14.71,2.21,8.24,5.88,10.59,17.65,7.94,62,2
2026-07-29,2026-07-30,605068,明新旭腾,3,机器人概念,3,5,0,1.05,3,1,2,-263,1,anchor_nat_yizi,3,4,0,1,74.71,7.5,0.0,14.71,2.21,8.24,5.88,10.59,17.65,7.94,63,2
2026-03-26,2026-03-27,002192,融捷股份,3,锂电池,2,4,0,28.4,1,1,1,1113,1,anchor_nat_yizi,3,8,0,1,72.94,7.5,0.0,14.71,2.21,8.24,5.88,10.59,17.65,6.18,64,2
2026-04-10,2026-04-13,000889,中嘉博创,3,算力,3,4,0,7.76,1,1,3,-300,1,anchor_reorg,3,5,0,0,72.35,7.5,0.0,14.71,2.21,8.24,5.88,10.0,17.65,6.18,65,2
2025-11-25,2025-11-26,688227,品高股份,3,芯片,4,6,0,6.94,2,1,1,-268,1,anchor_nat_yizi,3,7,0,0,72.06,3.97,0.0,14.71,2.21,8.24,5.88,10.59,17.65,8.82,66,2
2025-11-28,2025-12-01,603933,睿能科技,2,海峡两岸,2,6,0,7.58,2,1,1,12615,1,anchor_nat_yizi,2,4,0,1,71.76,7.5,0.0,14.71,2.21,8.24,2.06,10.59,17.65,8.82,67,2
2026-07-08,2026-07-09,002841,视源股份,2,中报增长,2,3,0,13.48,2,1,1,264,1,anchor_nat_yizi,2,5,0,1,71.76,7.5,0.0,14.71,2.21,8.24,2.06,10.59,17.65,8.82,68,2
2026-06-23,2026-06-24,600851,海欣股份,3,医药,1,13,0,4.35,4,1,1,183,1,anchor_nat_yizi,3,5,0,0,71.62,8.82,0.0,14.71,2.21,8.24,5.88,10.59,17.65,3.53,69,2
2025-10-31,2025-11-03,603122,合富中国,4,医药,2,7,0,4.79,1,1,1,77,1,anchor_nat_yizi,4,5,0,1,71.47,7.5,0.0,14.71,2.21,8.24,4.41,10.59,17.65,6.18,70,2
2025-12-01,2025-12-02,603933,睿能科技,3,存储,6,1,0,3.09,3,1,1,74,1,anchor_nat_yizi,3,4,0,1,71.18,3.97,0.0,14.71,2.21,8.24,5.88,10.59,17.65,7.94,71,2
2026-05-21,2026-05-22,600611,大众交通,2,芯片,2,3,0,8.32,2,1,2,522,1,anchor_reorg,2,4,0,1,71.18,7.5,0.0,14.71,2.21,8.24,2.06,10.0,17.65,8.82,72,2
2026-04-29,2026-04-30,603399,永杉锂业,2,锂电池,2,16,0,10.38,3,1,1,1619,1,anchor_nat_yizi,2,5,0,1,70.88,7.5,0.0,14.71,2.21,8.24,2.06,10.59,17.65,7.94,73,2
2026-05-26,2026-05-27,600726,华电能源,2,电力,3,3,0,15.19,3,1,1,594,1,anchor_nat_yizi,2,4,0,1,70.88,7.5,0.0,14.71,2.21,8.24,2.06,10.59,17.65,7.94,74,2
2025-12-19,2025-12-22,002910,庄园牧场,3,食品饮料,7,2,0,5.47,2,1,1,3255,1,anchor_nat_yizi,3,6,0,1,70.29,2.21,0.0,14.71,2.21,8.24,5.88,10.59,17.65,8.82,75,2
2026-03-26,2026-03-27,000722,湖南发展,3,电力,1,5,0,20.21,2,1,3,18,2,anchor_nat_yizi,3,8,0,0,70.29,8.82,0.0,8.09,2.21,8.24,5.88,10.59,17.65,8.82,76,2
2026-07-14,2026-07-15,002379,宏桥控股,2,中报增长,1,24,0,18.28,1,1,1,15891,1,anchor_reorg,2,3,0,0,69.85,8.82,0.0,14.71,2.21,8.24,2.06,10.0,17.65,6.18,77,2
2025-11-21,2025-11-24,000859,国风新材,3,芯片,5,1,0,26.05,1,1,1,5523,1,anchor_nat_yizi,3,7,0,1,69.41,3.97,0.0,14.71,2.21,8.24,5.88,10.59,17.65,6.18,78,2
2025-12-01,2025-12-02,603778,国晟科技,3,锂电池,4,2,0,21.52,1,1,1,381,1,anchor_nat_yizi,3,4,0,0,69.41,3.97,0.0,14.71,2.21,8.24,5.88,10.59,17.65,6.18,79,2
2026-02-02,2026-02-03,000995,皇台酒业,3,酿酒,4,1,0,10.5,1,1,1,1110,1,anchor_nat_yizi,3,5,0,1,69.41,3.97,0.0,14.71,2.21,8.24,5.88,10.59,17.65,6.18,80,2
2026-05-22,2026-05-25,002442,龙星科技,3,化工,6,4,0,7.17,1,1,1,885,1,anchor_nat_yizi,3,4,0,0,69.41,3.97,0.0,14.71,2.21,8.24,5.88,10.59,17.65,6.18,81,2
2025-11-28,2025-12-01,603778,国晟科技,2,锂电池,3,4,0,12.8,1,1,1,499,1,anchor_nat_yizi,2,4,0,1,69.12,7.5,0.0,14.71,2.21,8.24,2.06,10.59,17.65,6.18,82,2
2025-12-01,2025-12-02,002632,道明光学,3,消费电子,24,0,0,11.17,2,1,1,630,1,anchor_nat_yizi,3,4,0,1,68.97,0.88,0.0,14.71,2.21,8.24,5.88,10.59,17.65,8.82,83,2
2026-04-20,2026-04-21,603052,可川科技,3,通信,2,6,0,17.26,2,1,2,3761,2,anchor_nat_yizi,3,7,0,0,68.97,7.5,0.0,8.09,2.21,8.24,5.88,10.59,17.65,8.82,84,2
2026-05-12,2026-05-13,600530,交大昂立,3,保健品,17,0,0,4.39,2,1,1,-247,1,anchor_nat_yizi,3,5,0,1,68.97,0.88,0.0,14.71,2.21,8.24,5.88,10.59,17.65,8.82,85,2
2026-05-22,2026-05-25,000518,四环生物,3,ST摘帽,25,0,0,7.05,2,1,1,3,1,anchor_nat_yizi,3,4,0,1,68.97,0.88,0.0,14.71,2.21,8.24,5.88,10.59,17.65,8.82,86,2
2026-06-23,2026-06-24,002068,黑猫股份,3,元器件,15,1,0,14.44,2,1,1,675,1,anchor_nat_yizi,3,5,0,0,68.97,0.88,0.0,14.71,2.21,8.24,5.88,10.59,17.65,8.82,87,2
2026-07-17,2026-07-20,600162,香江控股,3,算力,13,0,0,11.16,2,1,1,17841,1,anchor_nat_yizi,3,5,0,0,68.97,0.88,0.0,14.71,2.21,8.24,5.88,10.59,17.65,8.82,88,2
2026-07-29,2026-07-30,000428,华天酒店,3,旅游,29,0,0,1.75,2,1,1,-300,1,anchor_nat_yizi,3,4,0,0,68.97,0.88,0.0,14.71,2.21,8.24,5.88,10.59,17.65,8.82,89,2
2025-10-16,2025-10-17,002942,新农股份,3,化工,7,1,0,4.8,3,1,1,255,1,anchor_reorg,3,3,0,0,68.82,2.21,0.0,14.71,2.21,8.24,5.88,10.0,17.65,7.94,90,2
2025-10-16,2025-10-17,600403,大有能源,3,煤炭,5,2,0,8.7,1,1,1,380,1,anchor_reorg,3,3,0,1,68.82,3.97,0.0,14.71,2.21,8.24,5.88,10.0,17.65,6.18,91,2
2026-02-04,2026-02-05,000533,顺钠股份,3,智能电网,5,3,0,10.43,1,1,1,93,1,anchor_reorg,3,4,0,0,68.82,3.97,0.0,14.71,2.21,8.24,5.88,10.0,17.65,6.18,92,2
2026-02-06,2026-02-09,002506,协鑫集成,3,光伏,6,3,0,74.98,1,1,1,15756,1,anchor_reorg,3,3,0,1,68.82,3.97,0.0,14.71,2.21,8.24,5.88,10.0,17.65,6.18,93,2
2025-10-16,2025-10-17,000626,远大控股,3,食品饮料,17,0,0,5.37,2,1,1,825,1,anchor_reorg,3,3,0,1,68.38,0.88,0.0,14.71,2.21,8.24,5.88,10.0,17.65,8.82,94,2
2026-02-06,2026-02-09,600814,杭州解百,3,零售,20,0,0,7.46,2,1,1,-245,1,anchor_reorg,3,3,0,0,68.38,0.88,0.0,14.71,2.21,8.24,5.88,10.0,17.65,8.82,95,2
2025-12-12,2025-12-15,002639,雪人集团,2,核电,4,6,0,32.23,2,1,1,1491,1,anchor_nat_yizi,2,5,0,1,68.24,3.97,0.0,14.71,2.21,8.24,2.06,10.59,17.65,8.82,96,2
2025-11-10,2025-11-11,600939,重庆建工,3,重庆市,25,0,0,4.5,3,1,1,653,1,anchor_nat_yizi,3,9,0,0,68.09,0.88,0.0,14.71,2.21,8.24,5.88,10.59,17.65,7.94,97,2
2026-07-09,2026-07-10,000977,浪潮信息,2,中报增长,2,7,0,185.34,1,1,2,513,1,anchor_two,2,3,1,0,68.09,7.5,0.0,14.71,8.82,8.24,2.06,2.94,17.65,6.18,98,2
2026-03-19,2026-03-20,600396,华电辽能,4,风电,4,2,0,10.29,1,1,1,66,1,anchor_nat_yizi,4,5,0,1,67.94,3.97,0.0,14.71,2.21,8.24,4.41,10.59,17.65,6.18,99,2
2026-04-22,2026-04-23,003018,金富科技,4,算力,4,4,0,10.36,1,1,1,63,1,anchor_nat_yizi,4,4,0,0,67.94,3.97,0.0,14.71,2.21,8.24,4.41,10.59,17.65,6.18,100,2
2026-03-02,2026-03-03,603353,和顺石油,2,石油石化,1,24,0,9.38,11,1,1,31,1,anchor_nat_yizi,2,4,0,1,67.79,8.82,0.0,14.71,2.21,8.24,2.06,10.59,17.65,3.53,101,2
2026-07-08,2026-07-09,600094,大名城,2,算力,1,14,0,0.74,5,1,1,55,1,anchor_nat_yizi,2,5,0,0,67.79,8.82,0.0,14.71,2.21,8.24,2.06,10.59,17.65,3.53,102,2
2025-11-25,2025-11-26,000070,特发信息,3,算力,10,1,0,8.6,1,1,1,39,1,anchor_nat_yizi,3,7,0,1,67.65,2.21,0.0,14.71,2.21,8.24,5.88,10.59,17.65,6.18,103,2
2025-12-19,2025-12-22,603585,苏利股份,3,农业,7,2,0,6.05,1,1,1,2959,1,anchor_nat_yizi,3,6,0,0,67.65,2.21,0.0,14.71,2.21,8.24,5.88,10.59,17.65,6.18,104,2
2026-06-09,2026-06-10,002747,埃斯顿,2,机器人概念,5,6,0,27.77,2,1,1,669,1,anchor_reorg,2,6,0,0,67.65,3.97,0.0,14.71,2.21,8.24,2.06,10.0,17.65,8.82,105,2
2026-07-03,2026-07-06,605189,富春染织,3,机器人概念,1,41,0,3.56,1,1,2,13704,2,anchor_nat_yizi,3,4,0,0,67.65,8.82,0.0,8.09,2.21,8.24,5.88,10.59,17.65,6.18,106,2
2026-07-14,2026-07-15,603065,宿迁联盛,2,芯片,6,3,0,12.28,2,1,1,1597,1,anchor_reorg,2,3,0,0,67.65,3.97,0.0,14.71,2.21,8.24,2.06,10.0,17.65,8.82,107,2
2026-07-29,2026-07-30,001358,兴欣新材,3,芯片,9,2,0,3.18,1,1,1,111,1,anchor_nat_yizi,3,4,0,0,67.65,2.21,0.0,14.71,2.21,8.24,5.88,10.59,17.65,6.18,108,2
2026-02-12,2026-02-13,002323,雅博股份,4,光伏,19,0,0,8.37,2,1,1,432,1,anchor_nat_yizi,4,4,0,0,67.5,0.88,0.0,14.71,2.21,8.24,4.41,10.59,17.65,8.82,109,2
2026-05-06,2026-05-07,600379,宝光股份,4,芯片,2,17,0,4.92,2,1,4,33,2,anchor_nat_yizi,4,4,0,0,67.5,7.5,0.0,8.09,2.21,8.24,4.41,10.59,17.65,8.82,110,2
2026-05-18,2026-05-19,600578,京能电力,4,电力,6,4,0,18.38,1,1,1,95,1,anchor_reorg,4,6,0,0,67.35,3.97,0.0,14.71,2.21,8.24,4.41,10.0,17.65,6.18,111,2
2026-07-08,2026-07-09,001365,天海电子,2,机器人概念,4,2,0,9.73,3,1,1,13044,1,anchor_nat_yizi,2,5,0,0,67.35,3.97,0.0,14.71,2.21,8.24,2.06,10.59,17.65,7.94,112,2
2026-07-28,2026-07-29,001358,兴欣新材,2,芯片,1,10,0,0.71,13,1,1,342,1,anchor_reorg,2,5,0,1,67.21,8.82,0.0,14.71,2.21,8.24,2.06,10.0,17.65,3.53,113,2
2025-12-22,2025-12-23,002910,庄园牧场,4,食品饮料,11,1,0,5.05,2,1,2,216,1,anchor_reorg,4,4,0,0,66.91,0.88,0.0,14.71,2.21,8.24,4.41,10.0,17.65,8.82,114,2
2026-06-17,2026-06-18,000777,中核科技,3,中字头,6,2,0,17.02,4,1,1,-300,1,anchor_nat_yizi,3,4,0,0,66.76,3.97,0.0,14.71,2.21,8.24,5.88,10.59,17.65,3.53,115,2
2026-06-17,2026-06-18,603115,海星股份,3,电阻电容,6,2,0,5.31,9,1,2,410,1,anchor_nat_yizi,3,4,0,0,66.76,3.97,0.0,14.71,2.21,8.24,5.88,10.59,17.65,3.53,116,2
2025-12-12,2025-12-15,002471,中超控股,2,燃气轮机,2,9,0,10.06,4,1,1,60,1,anchor_nat_yizi,2,5,0,1,66.47,7.5,0.0,14.71,2.21,8.24,2.06,10.59,17.65,3.53,117,2
2026-01-26,2026-01-27,600986,浙文互联,2,人工智能,7,2,0,63.67,2,1,1,-244,1,anchor_nat_yizi,2,18,0,0,66.47,2.21,0.0,14.71,2.21,8.24,2.06,10.59,17.65,8.82,118,2
2026-02-25,2026-02-26,600397,江钨装备,2,有色金属,2,8,0,30.36,5,1,1,15921,1,anchor_nat_yizi,2,4,0,0,66.47,7.5,0.0,14.71,2.21,8.24,2.06,10.59,17.65,3.53,119,3
2026-06-01,2026-06-02,002081,金螳螂,2,地产链,10,2,0,41.36,2,1,1,948,1,anchor_nat_yizi,2,5,0,0,66.47,2.21,0.0,14.71,2.21,8.24,2.06,10.59,17.65,8.82,120,3
2025-10-30,2025-10-31,603122,合富中国,3,医药零售,13,0,0,7.01,1,1,1,557,1,anchor_nat_yizi,3,5,0,1,66.32,0.88,0.0,14.71,2.21,8.24,5.88,10.59,17.65,6.18,121,3
