F,water_f,cap_f,near_u,n_pass,n_touch,n_seal,n_zha,seal_r,zha_r,pass_rate,cont_r
2,-0.5,99.0,7.0,261,146,112,34,0.7671232876712328,0.2328767123287671,0.781437125748503,0.41762452107279696
2,-0.5,99.0,3.0,241,133,102,31,0.7669172932330827,0.23308270676691728,0.7215568862275449,0.4149377593360996
3,-0.5,99.0,3.0,235,124,95,29,0.7661290322580645,0.23387096774193547,0.7035928143712575,0.39574468085106385
5,0.5,99.0,6.0,237,124,95,29,0.7661290322580645,0.23387096774193547,0.7095808383233533,0.3924050632911392
2,0.0,99.0,5.0,247,141,108,33,0.7659574468085106,0.23404255319148937,0.7395209580838323,0.4251012145748988
4,1.0,99.0,6.0,233,128,98,30,0.765625,0.234375,0.6976047904191617,0.40772532188841204
2,-0.5,99.0,6.0,258,145,111,34,0.7655172413793103,0.23448275862068965,0.7724550898203593,0.4186046511627907
3,1.0,5.0,8.0,175,81,62,19,0.7654320987654321,0.2345679012345679,0.5239520958083832,0.3485714285714286
1,1.0,9.8,8.0,174,98,75,23,0.7653061224489796,0.23469387755102042,0.5209580838323353,0.41379310344827586
5,-0.5,99.0,5.0,241,119,91,28,0.7647058823529411,0.23529411764705882,0.7215568862275449,0.36929460580912865
4,0.5,5.0,8.0,191,85,65,20,0.7647058823529411,0.23529411764705882,0.5718562874251497,0.33507853403141363
3,0.0,99.0,7.0,258,140,107,33,0.7642857142857142,0.2357142857142857,0.7724550898203593,0.40310077519379844
4,0.5,99.0,5.0,231,123,94,29,0.7642276422764228,0.23577235772357724,0.6916167664670658,0.3939393939393939
5,1.0,99.0,6.0,233,123,94,29,0.7642276422764228,0.23577235772357724,0.6976047904191617,0.3948497854077253
3,0.5,9.8,8.0,213,106,81,25,0.7641509433962265,0.2358490566037736,0.6377245508982036,0.36619718309859156
4,-0.5,99.0,8.0,270,144,110,34,0.7638888888888888,0.2361111111111111,0.8083832335329342,0.3962962962962963
3,0.5,9.0,8.0,206,101,77,24,0.7623762376237624,0.2376237623762376,0.6167664670658682,0.3640776699029126
4,1.0,99.0,5.0,225,122,93,29,0.7622950819672131,0.23770491803278687,0.6736526946107785,0.4
3,1.0,9.8,8.0,207,105,80,25,0.7619047619047619,0.23809523809523808,0.6197604790419161,0.3719806763285024
4,0.5,9.8,8.0,219,105,80,25,0.7619047619047619,0.23809523809523808,0.655688622754491,0.3515981735159817
4,1.0,5.0,8.0,185,84,64,20,0.7619047619047619,0.23809523809523808,0.5538922155688623,0.34054054054054056
5,0.0,99.0,7.0,255,130,99,31,0.7615384615384615,0.23846153846153847,0.7634730538922155,0.3803921568627451
3,0.0,99.0,6.0,253,138,105,33,0.7608695652173914,0.2391304347826087,0.7574850299401198,0.4031620553359684
1,0.5,9.0,8.0,171,92,70,22,0.7608695652173914,0.2391304347826087,0.5119760479041916,0.39766081871345027
2,-0.5,99.0,5.0,254,142,108,34,0.7605633802816901,0.23943661971830985,0.7604790419161677,0.41338582677165353
1,0.5,9.8,7.0,176,96,73,23,0.7604166666666666,0.23958333333333334,0.5269461077844312,0.3977272727272727
3,1.0,9.0,8.0,200,100,76,24,0.76,0.24,0.5988023952095808,0.37
2,0.5,9.8,8.0,200,104,79,25,0.7596153846153846,0.2403846153846154,0.5988023952095808,0.38
4,1.0,9.8,8.0,213,104,79,25,0.7596153846153846,0.2403846153846154,0.6377245508982036,0.3568075117370892
3,0.0,99.0,5.0,246,133,101,32,0.7593984962406015,0.24060150375939848,0.7365269461077845,0.3983739837398374
3,-0.5,99.0,7.0,263,141,107,34,0.7588652482269503,0.24113475177304963,0.7874251497005988,0.39543726235741444
4,0.0,99.0,3.0,226,116,88,28,0.7586206896551724,0.2413793103448276,0.6766467065868264,0.3805309734513274
1,0.5,9.8,3.0,167,91,69,22,0.7582417582417582,0.24175824175824176,0.5,0.39520958083832336
1,0.5,9.8,6.0,175,95,72,23,0.7578947368421053,0.24210526315789474,0.5239520958083832,0.3942857142857143
2,1.0,9.8,8.0,194,103,78,25,0.7572815533980582,0.24271844660194175,0.5808383233532934,0.3865979381443299
1,0.0,9.8,8.0,204,107,81,26,0.7570093457943925,0.24299065420560748,0.6107784431137725,0.38235294117647056
5,0.0,99.0,6.0,249,127,96,31,0.7559055118110236,0.2440944881889764,0.7455089820359282,0.37751004016064255
5,-0.5,99.0,7.0,259,131,99,32,0.7557251908396947,0.24427480916030533,0.7754491017964071,0.3745173745173745
4,0.0,99.0,7.0,257,135,102,33,0.7555555555555555,0.24444444444444444,0.7694610778443114,0.3852140077821012
1,1.0,9.0,8.0,164,90,68,22,0.7555555555555555,0.24444444444444444,0.49101796407185627,0.4024390243902439
3,-0.5,99.0,6.0,258,139,105,34,0.7553956834532374,0.2446043165467626,0.7724550898203593,0.3953488372093023
1,0.5,9.8,5.0,173,94,71,23,0.7553191489361702,0.24468085106382978,0.5179640718562875,0.3930635838150289
1,1.0,9.8,7.0,169,94,71,23,0.7553191489361702,0.24468085106382978,0.5059880239520959,0.40236686390532544
2,0.5,9.0,8.0,192,98,74,24,0.7551020408163265,0.24489795918367346,0.5748502994011976,0.375
4,0.5,9.0,8.0,214,102,77,25,0.7549019607843137,0.24509803921568626,0.6407185628742516,0.35046728971962615
3,0.5,5.0,3.0,144,57,43,14,0.7543859649122807,0.24561403508771928,0.4311377245508982,0.2986111111111111
3,-0.5,99.0,5.0,251,134,101,33,0.753731343283582,0.2462686567164179,0.7514970059880239,0.3904382470119522
3,0.5,9.8,3.0,176,81,61,20,0.7530864197530864,0.24691358024691357,0.5269461077844312,0.3352272727272727
1,1.0,9.8,3.0,160,89,67,22,0.7528089887640449,0.24719101123595505,0.47904191616766467,0.4
1,1.0,9.8,6.0,168,93,70,23,0.7526881720430108,0.24731182795698925,0.5029940119760479,0.39880952380952384
2,1.0,9.0,8.0,186,97,73,24,0.7525773195876289,0.24742268041237114,0.5568862275449101,0.3817204301075269
4,1.0,9.0,8.0,208,101,76,25,0.7524752475247525,0.24752475247524752,0.6227544910179641,0.3557692307692308
4,-0.5,99.0,3.0,230,117,88,29,0.7521367521367521,0.24786324786324787,0.688622754491018,0.3739130434782609
4,0.0,99.0,6.0,252,133,100,33,0.7518796992481203,0.24812030075187969,0.7544910179640718,0.38492063492063494
4,-0.5,99.0,7.0,261,136,102,34,0.75,0.25,0.781437125748503,0.3793103448275862
5,-0.5,99.0,6.0,253,128,96,32,0.75,0.25,0.7574850299401198,0.3715415019762846
1,-0.5,9.8,8.0,214,108,81,27,0.75,0.25,0.6407185628742516,0.3644859813084112
1,1.0,9.8,5.0,166,92,69,23,0.75,0.25,0.49700598802395207,0.39759036144578314
3,0.5,7.0,8.0,195,92,69,23,0.75,0.25,0.5838323353293413,0.3487179487179487
1,0.5,9.0,7.0,166,88,66,22,0.75,0.25,0.49700598802395207,0.3855421686746988
3,1.0,9.8,3.0,170,80,60,20,0.75,0.25,0.5089820359281437,0.3411764705882353
3,0.5,9.0,3.0,169,76,57,19,0.75,0.25,0.5059880239520959,0.33136094674556216
5,0.5,9.8,3.0,173,72,54,18,0.75,0.25,0.5179640718562875,0.3063583815028902
3,1.0,5.0,3.0,138,56,42,14,0.75,0.25,0.41317365269461076,0.30434782608695654
4,0.0,99.0,5.0,244,127,95,32,0.7480314960629921,0.25196850393700787,0.7305389221556886,0.3770491803278688
1,0.0,9.8,7.0,199,103,77,26,0.7475728155339806,0.2524271844660194,0.5958083832335329,0.37185929648241206
1,0.0,9.0,8.0,194,99,74,25,0.7474747474747475,0.25252525252525254,0.5808383233532934,0.3711340206185567
2,0.5,9.8,7.0,194,99,74,25,0.7474747474747475,0.25252525252525254,0.5808383233532934,0.36597938144329895
3,1.0,7.0,8.0,189,91,68,23,0.7472527472527473,0.25274725274725274,0.5658682634730539,0.3544973544973545
1,0.5,9.0,6.0,165,87,65,22,0.7471264367816092,0.25287356321839083,0.4940119760479042,0.38181818181818183
1,0.5,9.0,3.0,157,83,62,21,0.7469879518072289,0.25301204819277107,0.47005988023952094,0.3821656050955414
3,1.0,9.0,3.0,163,75,56,19,0.7466666666666667,0.25333333333333335,0.4880239520958084,0.3374233128834356
2,0.5,5.0,8.0,156,71,53,18,0.7464788732394366,0.2535211267605634,0.46706586826347307,0.3333333333333333
5,1.0,9.8,3.0,169,71,53,18,0.7464788732394366,0.2535211267605634,0.5059880239520959,0.3076923076923077
4,-0.5,99.0,6.0,256,134,100,34,0.746268656716418,0.2537313432835821,0.7664670658682635,0.37890625
2,0.0,9.8,8.0,219,110,82,28,0.7454545454545455,0.2545454545454545,0.655688622754491,0.3607305936073059
3,0.0,9.8,8.0,228,110,82,28,0.7454545454545455,0.2545454545454545,0.6826347305389222,0.34649122807017546
5,0.5,9.8,8.0,223,106,79,27,0.7452830188679245,0.25471698113207547,0.6676646706586826,0.3452914798206278
1,0.0,9.8,6.0,198,102,76,26,0.7450980392156863,0.2549019607843137,0.592814371257485,0.3686868686868687
1,0.0,9.8,3.0,190,98,73,25,0.7448979591836735,0.25510204081632654,0.5688622754491018,0.3684210526315789
