F,water_f,cap_f,near_u,n_pass,n_touch,n_seal,n_zha,seal_r,zha_r,pass_rate,cont_r
2,0.5,9.8,6.0,191,98,73,25,0.7448979591836735,0.25510204081632654,0.5718562874251497,0.36649214659685864
2,1.0,9.8,7.0,188,98,73,25,0.7448979591836735,0.25510204081632654,0.562874251497006,0.3723404255319149
3,0.5,9.8,7.0,204,98,73,25,0.7448979591836735,0.25510204081632654,0.6107784431137725,0.3431372549019608
4,0.5,7.0,8.0,204,94,70,24,0.7446808510638298,0.2553191489361702,0.6107784431137725,0.3382352941176471
1,0.5,9.0,5.0,163,86,64,22,0.7441860465116279,0.2558139534883721,0.4880239520958084,0.3803680981595092
1,1.0,9.0,7.0,159,86,64,22,0.7441860465116279,0.2558139534883721,0.47604790419161674,0.389937106918239
2,0.5,9.8,3.0,174,86,64,22,0.7441860465116279,0.2558139534883721,0.5209580838323353,0.3563218390804598
3,0.0,5.0,8.0,196,86,64,22,0.7441860465116279,0.2558139534883721,0.5868263473053892,0.32142857142857145
4,0.5,9.8,3.0,179,78,58,20,0.7435897435897436,0.2564102564102564,0.5359281437125748,0.3128491620111732
3,0.5,5.0,7.0,172,74,55,19,0.7432432432432432,0.25675675675675674,0.5149700598802395,0.313953488372093
4,0.0,9.8,8.0,232,109,81,28,0.7431192660550459,0.25688073394495414,0.6946107784431138,0.33620689655172414
3,0.0,9.0,8.0,221,105,78,27,0.7428571428571429,0.2571428571428571,0.6616766467065869,0.3438914027149321
5,1.0,9.8,8.0,219,105,78,27,0.7428571428571429,0.2571428571428571,0.655688622754491,0.3470319634703196
2,1.0,5.0,8.0,150,70,52,18,0.7428571428571429,0.2571428571428571,0.4491017964071856,0.34
1,0.0,9.8,5.0,196,101,75,26,0.7425742574257426,0.25742574257425743,0.5868263473053892,0.3673469387755102
2,1.0,9.8,6.0,185,97,72,25,0.7422680412371134,0.25773195876288657,0.5538922155688623,0.372972972972973
3,1.0,9.8,7.0,198,97,72,25,0.7422680412371134,0.25773195876288657,0.592814371257485,0.3484848484848485
4,0.5,9.8,7.0,210,97,72,25,0.7422680412371134,0.25773195876288657,0.6287425149700598,0.32857142857142857
4,-0.5,99.0,5.0,248,128,95,33,0.7421875,0.2578125,0.7425149700598802,0.3709677419354839
2,0.5,9.0,7.0,186,93,69,24,0.7419354838709677,0.25806451612903225,0.5568862275449101,0.3602150537634409
3,0.5,9.0,7.0,197,93,69,24,0.7419354838709677,0.25806451612903225,0.5898203592814372,0.3401015228426396
4,1.0,7.0,8.0,198,93,69,24,0.7419354838709677,0.25806451612903225,0.592814371257485,0.3434343434343434
4,0.0,5.0,8.0,204,89,66,23,0.7415730337078652,0.25842696629213485,0.6107784431137725,0.31862745098039214
4,0.5,5.0,3.0,151,58,43,15,0.7413793103448276,0.25862068965517243,0.45209580838323354,0.2847682119205298
1,1.0,9.0,6.0,158,85,63,22,0.7411764705882353,0.25882352941176473,0.47305389221556887,0.3860759493670886
