T,T1,code,name,theme,boards,rank,fb,yizi,amt,is_anchor,down_h,anchor_type,seal_rank_theme,first_seal_sec,cont,score,prob
2026-03-31,2026-04-01,000592,平潭发展,海峡两岸,2,9,2,0,55.7,1,2,anchor_two,2,408,0,38.46,0.3846
2025-10-15,2025-10-16,002942,新农股份,化工,2,23,0,0,3.09,0,2,anchor_reorg,1,1095,1,38.38,0.3838
2026-03-16,2026-03-17,603929,亚翔集成,芯片,2,1,7,0,14.1,0,2,anchor_two,1,1148,1,38.3,0.383
2025-10-30,2025-10-31,603122,合富中国,医药零售,3,13,0,0,7.01,0,3,anchor_nat_yizi,1,557,1,38.24,0.3824
2026-07-01,2026-07-02,600641,先导基电,芯片,2,2,16,0,54.71,0,2,anchor_nat_yizi,5,1855,1,38.19,0.3819
2026-04-29,2026-04-30,603317,天味食品,一季报增长,2,1,34,0,8.68,0,2,anchor_nat_yizi,3,622,0,38.14,0.3814
2025-12-11,2025-12-12,603601,再升科技,商业航天,4,1,7,0,6.78,0,4,anchor_reorg,1,2,1,38.12,0.3812
2025-12-19,2025-12-22,002188,中天服务,地产链,3,2,4,0,3.02,0,3,anchor_nat_yizi,1,9,0,38.11,0.3811
2025-12-16,2025-12-17,001208,华菱线缆,商业航天,4,3,5,0,14.05,0,4,anchor_nat_yizi,2,15,0,38.1,0.381
2025-12-04,2025-12-05,603696,安记食品,食品饮料,3,12,0,0,8.17,0,3,anchor_nat_yizi,1,24,1,38.09,0.3809
2026-06-23,2026-06-24,002068,黑猫股份,元器件,3,15,1,0,14.44,0,3,anchor_nat_yizi,1,675,0,38.06,0.3806
2026-06-29,2026-06-30,603650,彤程新材,芯片,2,2,22,0,56.57,1,2,anchor_two,1,85,0,38.0,0.38
2026-05-18,2026-05-19,600578,京能电力,电力,4,6,4,0,18.38,0,4,anchor_reorg,1,95,0,37.98,0.3798
2026-07-10,2026-07-13,000892,欢瑞世纪,AI应用,2,6,4,0,5.75,0,2,anchor_two,2,2010,0,37.96,0.3796
2026-07-10,2026-07-13,600992,贵绳股份,商业航天,2,1,23,0,1.78,0,2,anchor_two,1,2008,1,37.96,0.3796
2025-12-10,2025-12-11,000905,厦门港务,海峡两岸,4,15,0,0,22.89,0,4,anchor_nat_yizi,3,117,0,37.95,0.3795
2026-04-15,2026-04-16,002124,天邦食品,农业,3,22,0,0,12.11,0,3,anchor_nat_yizi,1,138,0,37.92,0.3792
2026-06-09,2026-06-10,603929,亚翔集成,芯片,2,2,26,0,6.72,0,2,anchor_reorg,1,150,0,37.9,0.379
2026-07-28,2026-07-29,603389,亚振家居,ST摘帽,2,9,1,0,1.33,0,2,anchor_reorg,1,870,0,37.77,0.3777
2026-06-02,2026-06-03,600280,中央商场,零售,3,16,0,0,5.52,0,3,anchor_nat_yizi,1,1557,0,37.69,0.3769
2026-02-25,2026-02-26,600759,洲际油气,石油石化,2,21,0,0,54.8,0,2,anchor_nat_yizi,1,1564,0,37.68,0.3768
2026-06-01,2026-06-02,002081,金螳螂,地产链,2,10,2,0,41.36,0,2,anchor_nat_yizi,1,948,0,37.65,0.3765
2025-11-25,2025-11-26,688227,品高股份,芯片,3,4,6,0,6.94,0,3,anchor_nat_yizi,1,-268,0,37.58,0.3758
2026-04-24,2026-04-27,001234,泰慕士,服装家纺,3,19,0,0,4.51,0,3,anchor_nat_yizi,1,1005,0,37.57,0.3757
2025-11-21,2025-11-24,603216,梦天家居,地产链,3,3,2,0,5.64,0,3,anchor_nat_yizi,1,-249,1,37.55,0.3755
2026-07-01,2026-07-02,000603,盛达资源,中报增长,2,7,4,0,12.67,0,2,anchor_nat_yizi,1,2295,0,37.53,0.3753
2026-07-28,2026-07-29,003032,传智教育,AI应用,2,2,9,0,2.26,0,2,anchor_reorg,1,1074,1,37.46,0.3746
2026-04-29,2026-04-30,002081,金螳螂,芯片,2,9,2,0,16.27,0,2,anchor_nat_yizi,3,1089,1,37.44,0.3744
2026-06-09,2026-06-10,001696,宗申动力,低空经济,2,15,1,0,11.9,0,2,anchor_reorg,1,462,0,37.43,0.3743
2026-02-02,2026-02-03,000995,皇台酒业,酿酒,3,4,1,0,10.5,0,3,anchor_nat_yizi,1,1110,1,37.41,0.3741
2025-12-12,2025-12-15,600936,广西广电,机器人概念,2,11,1,0,6.57,0,2,anchor_nat_yizi,1,1151,1,37.35,0.3735
2025-12-24,2025-12-25,600179,安通控股,海南,3,9,1,0,15.5,0,3,anchor_nat_yizi,2,1164,1,37.33,0.3733
2025-11-25,2025-11-26,001296,长江材料,3D打印,3,25,0,0,2.58,0,3,anchor_nat_yizi,1,15,0,37.16,0.3716
2026-06-09,2026-06-10,002747,埃斯顿,机器人概念,2,5,6,0,27.77,0,2,anchor_reorg,1,669,0,37.13,0.3713
2025-11-25,2025-11-26,000070,特发信息,算力,3,10,1,0,8.6,0,3,anchor_nat_yizi,1,39,1,37.12,0.3712
2026-04-20,2026-04-21,600156,华升股份,算力,3,3,4,0,3.57,0,3,anchor_nat_yizi,3,76,0,37.07,0.3707
2025-11-25,2025-11-26,000892,欢瑞世纪,人工智能,3,3,7,0,6.82,0,3,anchor_nat_yizi,3,180,1,36.91,0.3691
2025-12-12,2025-12-15,002639,雪人集团,核电,2,4,6,0,32.23,0,2,anchor_nat_yizi,1,1491,1,36.85,0.3685
2026-05-14,2026-05-15,002208,合肥城建,芯片,3,1,10,0,18.88,0,3,anchor_nat_yizi,3,861,0,36.84,0.3684
2026-06-30,2026-07-01,603983,丸美生物,美容护理,2,31,0,0,4.19,0,2,anchor_two,1,2783,0,36.81,0.3681
2026-02-25,2026-02-26,600096,云天化,化工,2,1,12,0,73.78,0,2,anchor_nat_yizi,6,2170,0,36.78,0.3678
2026-04-20,2026-04-21,603268,松发股份,ST摘帽,3,14,1,0,17.45,0,3,anchor_nat_yizi,1,279,0,36.77,0.3677
2026-04-29,2026-04-30,603399,永杉锂业,锂电池,2,2,16,0,10.38,0,2,anchor_nat_yizi,1,1619,1,36.66,0.3666
2025-12-30,2025-12-31,603278,大业股份,商业航天,5,2,6,0,4.06,0,5,anchor_nat_yizi,2,-269,1,36.64,0.3664
2026-03-02,2026-03-03,603629,利通电子,算力,2,10,1,0,27.9,0,2,anchor_nat_yizi,1,2333,0,36.54,0.3654
2026-03-11,2026-03-12,600108,亚盛集团,农业,2,8,1,0,23.83,0,2,anchor_two,1,1726,0,36.5,0.365
2026-02-25,2026-02-26,002811,郑中设计,AI应用,2,3,5,0,3.38,0,2,anchor_nat_yizi,2,2385,0,36.46,0.3646
2026-07-28,2026-07-29,002310,东方新能,电力,2,5,2,0,10.64,0,2,anchor_reorg,1,1845,0,36.33,0.3633
2026-01-30,2026-02-02,000995,皇台酒业,酿酒,2,16,0,0,6.73,0,2,anchor_nat_yizi,2,6,1,36.24,0.3624
2026-03-26,2026-03-27,000722,湖南发展,电力,3,1,5,0,20.21,0,3,anchor_nat_yizi,2,18,0,36.22,0.3622
2026-06-01,2026-06-02,301439,泓淋电力,通信,2,19,1,0,12.44,0,2,anchor_nat_yizi,2,1992,0,36.11,0.3611
2026-03-26,2026-03-27,603538,美诺华,医药,3,2,4,0,10.14,0,3,anchor_nat_yizi,1,222,1,35.92,0.3592
