signal_date,outcome_date,code,name,boards,height_bucket,theme,H,H_prev,leader_absent,leader_any_absent,height_drop,height_new_high,leader_baoliang,prev_leader_baoliang,theme_alive,theme_dead,same_theme_broken,loose_theme_broken,tier,is_new_high,is_sub_high,is_mid_2_3,is_legacy_near,one_price_today,zt_next,promote,one_word_next,tradable_zt,zha_next,zha_change_rate,boards_next,zt_d2,promote_d2,zt_d3,same_theme_baoliang
2026-01-06,2026-01-07,002324,普利特,2,2,脑机接口,13,7,False,False,False,True,False,False,False,False,False,False,mid_2_3,False,False,True,False,True,True,True,True,False,False,,3,True,True,False,False
2026-01-06,2026-01-07,002462,嘉事堂,2,2,医药,13,7,False,False,False,True,False,False,False,False,False,False,mid_2_3,False,False,True,False,False,True,True,False,True,False,,3,False,False,False,False
2026-01-06,2026-01-07,002465,海格通信,2,2,商业航天,13,7,False,False,False,True,False,False,False,False,False,False,mid_2_3,False,False,True,False,False,False,False,,False,False,,,False,False,False,False
2026-01-06,2026-01-07,002519,银河电子,2,2,商业航天,13,7,False,False,False,True,False,False,False,False,False,False,mid_2_3,False,False,True,False,False,True,True,True,False,False,,3,True,True,True,False
2026-01-06,2026-01-07,002774,快意电梯,2,2,地产链,13,7,False,False,False,True,False,False,False,False,False,False,mid_2_3,False,False,True,False,False,True,True,False,True,False,,3,True,True,True,False
2026-01-06,2026-01-07,002925,盈趣科技,2,2,脑机接口,13,7,False,False,False,True,False,False,False,False,False,False,mid_2_3,False,False,True,False,False,False,False,,False,False,,,False,False,False,False
2026-01-06,2026-01-07,300430,诚益通,2,2,脑机接口,13,7,False,False,False,True,False,False,False,False,False,False,mid_2_3,False,False,True,False,False,False,False,,False,False,,,False,False,False,False
2026-01-06,2026-01-07,300753,爱朋医疗,2,2,脑机接口,13,7,False,False,False,True,False,False,False,False,False,False,mid_2_3,False,False,True,False,False,False,False,,False,False,,,True,False,False,False
2026-01-06,2026-01-07,300887,谱尼测试,2,2,脑机接口,13,7,False,False,False,True,False,False,False,False,False,False,mid_2_3,False,False,True,False,False,False,False,,False,False,,,True,False,False,False
2026-01-06,2026-01-07,300986,志特新材,2,2,人工智能,13,7,False,False,False,True,False,False,False,False,False,False,mid_2_3,False,False,True,False,False,True,True,False,True,False,,3,True,True,True,False
2026-01-06,2026-01-07,301293,三博脑科,2,2,脑机接口,13,7,False,False,False,True,False,False,False,False,False,False,mid_2_3,False,False,True,False,True,False,False,,False,False,,,False,False,False,False
2026-01-06,2026-01-07,301330,熵基科技,2,2,脑机接口,13,7,False,False,False,True,False,False,False,False,False,False,mid_2_3,False,False,True,False,False,False,False,,False,False,,,False,False,False,False
2026-01-06,2026-01-07,301363,美好医疗,2,2,脑机接口,13,7,False,False,False,True,False,False,False,False,False,False,mid_2_3,False,False,True,False,True,True,True,False,True,False,,3,False,False,False,False
2026-01-06,2026-01-07,600337,美克家居,2,2,并购重组,13,7,False,False,False,True,False,False,False,False,False,False,mid_2_3,False,False,True,False,True,True,True,True,False,False,,3,True,True,False,False
2026-01-06,2026-01-07,600370,三房巷,2,2,化工,13,7,False,False,False,True,False,False,False,False,False,False,mid_2_3,False,False,True,False,False,False,False,,False,False,,,False,False,False,False
2026-01-06,2026-01-07,600775,南京熊猫,2,2,脑机接口,13,7,False,False,False,True,False,False,False,False,False,False,mid_2_3,False,False,True,False,True,True,True,True,False,False,,3,True,True,False,False
2026-01-06,2026-01-07,600855,航天长峰,2,2,商业航天,13,7,False,False,False,True,False,False,False,False,False,False,mid_2_3,False,False,True,False,False,False,False,,False,False,,,False,False,False,False
2026-01-06,2026-01-07,603061,金海通,2,2,芯片,13,7,False,False,False,True,False,False,False,False,False,False,mid_2_3,False,False,True,False,False,False,False,,False,False,,,False,False,False,False
2026-01-06,2026-01-07,603579,荣泰健康,2,2,脑机接口,13,7,False,False,False,True,False,False,False,False,False,False,mid_2_3,False,False,True,False,False,False,False,,False,False,,,False,False,False,False
2026-01-06,2026-01-07,603598,引力传媒,2,2,人工智能,13,7,False,False,False,True,False,False,False,False,False,False,mid_2_3,False,False,True,False,False,True,True,False,True,False,,3,False,False,True,False
2026-01-06,2026-01-07,603716,塞力医疗,2,2,脑机接口,13,7,False,False,False,True,False,False,False,False,False,False,mid_2_3,False,False,True,False,True,False,False,,False,False,,,True,False,False,False
2026-01-06,2026-01-07,603778,国晟科技,2,2,锂电池,13,7,False,False,False,True,False,False,False,False,False,False,mid_2_3,False,False,True,False,False,False,False,,False,False,,,False,False,False,False
2026-01-06,2026-01-07,603929,亚翔集成,2,2,芯片,13,7,False,False,False,True,False,False,False,False,False,False,mid_2_3,False,False,True,False,False,False,False,,False,False,,,False,False,False,False
2026-01-06,2026-01-07,605358,立昂微,2,2,芯片,13,7,False,False,False,True,False,False,False,False,False,False,mid_2_3,False,False,True,False,False,False,False,,False,False,,,False,False,False,False
2026-01-06,2026-01-07,688273,麦澜德,2,2,脑机接口,13,7,False,False,False,True,False,False,False,False,False,False,mid_2_3,False,False,True,False,False,False,False,,False,False,,,False,False,False,False
2026-01-06,2026-01-07,688580,伟思医疗,2,2,脑机接口,13,7,False,False,False,True,False,False,False,False,False,False,mid_2_3,False,False,True,False,False,False,False,,False,False,,,False,False,False,False
2026-01-06,2026-01-07,688626,翔宇医疗,2,2,脑机接口,13,7,False,False,False,True,False,False,False,False,False,False,mid_2_3,False,False,True,False,False,False,False,,False,False,,,False,False,False,False
2026-01-07,2026-01-08,001331,胜通能源,14,5+,机器人概念,14,13,False,False,False,True,False,False,False,False,False,False,new_high,True,False,False,False,True,False,False,,False,False,,,False,False,False,False
2026-01-07,2026-01-08,002931,锋龙股份,9,5+,机器人概念,14,13,False,False,False,True,False,False,False,False,False,False,,False,False,False,False,True,True,True,True,False,False,,10,True,True,True,False
2026-01-07,2026-01-08,002413,雷科防务,6,5+,商业航天,14,13,False,False,False,True,False,False,False,False,False,False,,False,False,False,False,False,False,False,,False,False,,,False,False,True,False
