definition,filters,n,wins,rate,half1,half2,notes
tradable_zt,NOT leader_baoliang & opened,836,214,0.2560,124/414=30.0%,90/422=21.3%,yizi_today=0.0% | yizi_next_all=2.8% | height{2:558;3:151;4:64;5:27;6:18;7:9;8:5;9:1;10:1;12:1;13:1} | themes=99 | dates=105
tradable_zt,NOT leader_baoliang & NOT unopened,836,214,0.2560,124/414=30.0%,90/422=21.3%,yizi_today=0.0% | yizi_next_all=2.8% | height{2:558;3:151;4:64;5:27;6:18;7:9;8:5;9:1;10:1;12:1;13:1} | themes=99 | dates=105
tradable_zt,theme_alive_own & NOT same_theme_baoliang,2055,526,0.2560,308/1122=27.5%,218/933=23.4%,yizi_today=18.7% | yizi_next_all=10.1% | height{2:1384;3:379;4:167;5:62;6:27;7:16;8:9;9:2;10:3;11:1;12:2;13:1;14:1;15:1} | themes=103 | dates=207
tradable_zt,NOT is_sub_high & NOT boards_ge5,2141,548,0.2560,319/1169=27.3%,229/972=23.6%,yizi_today=18.1% | yizi_next_all=9.4% | height{2:1510;3:427;4:204} | themes=141 | dates=207
tradable_zt,NOT height_drop & NOT is_fanbao,1950,499,0.2559,292/1109=26.3%,207/841=24.6%,yizi_today=19.1% | yizi_next_all=10.3% | height{2:1238;3:378;4:172;5:69;6:36;7:23;8:15;9:5;10:2;11:2;12:2;13:2;14:2;15:1;16:1;17:1;18:1} | themes=132 | dates=149
tradable_zt,NOT leader_baoliang & NOT is_new_high,1403,359,0.2559,210/723=29.0%,149/680=21.9%,yizi_today=16.8% | yizi_next_all=9.5% | height{2:1016;3:250;4:91;5:33;6:7;7:2;8:2;9:2} | themes=120 | dates=105
tradable_zt,same_theme_broken & is_sub_high,43,11,0.2558,2/10=20.0%,9/33=27.3%,yizi_today=7.0% | yizi_next_all=9.3% | height{2:28;3:14;4:1} | themes=16 | dates=23
tradable_zt,NOT leader_absent & one_price_today & is_new_high,43,11,0.2558,7/24=29.2%,4/19=21.1%,yizi_today=100%_not_buyable | yizi_today=100.0% | yizi_next_all=41.9% | height{3:3;4:4;5:12;6:5;7:6;8:3;9:2;10:1;11:1;12:1;13:1;14:1;15:1;16:1;17:1} | themes=17 | dates=42
tradable_zt,NOT height_new_high & NOT same_theme_baoliang,2159,552,0.2557,302/1093=27.6%,250/1066=23.5%,yizi_today=18.0% | yizi_next_all=9.4% | height{2:1491;3:390;4:167;5:61;6:28;7:15;8:4;10:1;11:1;12:1} | themes=142 | dates=185
tradable_zt,theme_alive_own,2281,583,0.2556,334/1236=27.0%,249/1045=23.8%,yizi_today=19.1% | yizi_next_all=10.1% | height{2:1467;3:432;4:207;5:82;6:40;7:22;8:12;9:4;10:4;11:2;12:2;13:2;14:2;15:1;16:1;17:1} | themes=104 | dates=207
tradable_zt,NOT same_theme_broken & NOT same_theme_baoliang,2360,603,0.2555,351/1298=27.0%,252/1062=23.7%,yizi_today=18.5% | yizi_next_all=9.9% | height{2:1588;3:444;4:187;5:70;6:31;7:18;8:10;9:3;10:3;11:1;12:2;13:1;14:1;15:1} | themes=148 | dates=207
tradable_zt,NOT same_theme_broken & NOT href_le1,1911,488,0.2554,298/1101=27.1%,190/810=23.5%,yizi_today=17.7% | yizi_next_all=9.9% | height{2:1406;3:342;4:114;5:33;6:9;7:2;8:3;9:2} | themes=138 | dates=177
tradable_zt,NOT leader_absent & NOT one_price_today & NOT is_fanbao,1261,322,0.2554,186/687=27.1%,136/574=23.7%,yizi_today=0.0% | yizi_next_all=3.2% | height{2:844;3:211;4:108;5:46;6:22;7:15;8:10;9:1;11:1;12:1;13:1;18:1} | themes=115 | dates=121
tradable_zt,NOT opened & NOT href_le1,889,227,0.2553,142/520=27.3%,85/369=23.0%,yizi_today=40.3% | yizi_next_all=19.0% | height{2:661;3:151;4:51;5:15;6:5;7:2;8:2;9:2} | themes=107 | dates=172
tradable_zt,unopened & NOT href_le1,889,227,0.2553,142/520=27.3%,85/369=23.0%,yizi_today=40.3% | yizi_next_all=19.0% | height{2:661;3:151;4:51;5:15;6:5;7:2;8:2;9:2} | themes=107 | dates=172
tradable_zt,NOT is_new_high & NOT opened & NOT href_le1,889,227,0.2553,142/520=27.3%,85/369=23.0%,yizi_today=40.3% | yizi_next_all=19.0% | height{2:661;3:151;4:51;5:15;6:5;7:2;8:2;9:2} | themes=107 | dates=172
tradable_zt,theme_alive_own & NOT is_fanbao & NOT href_le1,1598,408,0.2553,262/967=27.1%,146/631=23.1%,yizi_today=18.6% | yizi_next_all=10.6% | height{2:1170;3:278;4:107;5:27;6:9;7:2;8:3;9:2} | themes=95 | dates=177
tradable_zt,height_drop & NOT own_baoliang,611,156,0.2553,91/306=29.7%,65/305=21.3%,yizi_today=18.0% | yizi_next_all=9.0% | height{2:471;3:84;4:36;5:13;6:5;7:1;10:1} | themes=89 | dates=58
tradable_zt,height_new_high & NOT same_theme_broken,349,89,0.2550,72/271=26.6%,17/78=21.8%,yizi_today=22.9% | yizi_next_all=13.2% | height{2:202;3:76;4:27;5:12;6:5;7:4;8:8;9:5;10:2;11:1;12:1;13:1;14:1;15:1;16:1;17:1;18:1} | themes=65 | dates=22
tradable_zt,NOT height_new_high,2385,608,0.2549,326/1205=27.1%,282/1180=23.9%,yizi_today=18.1% | yizi_next_all=9.3% | height{2:1568;3:449;4:210;5:83;6:41;7:21;8:7;10:2;11:1;12:1;13:1;14:1} | themes=145 | dates=185
tradable_zt,leader_absent & NOT is_sub_high,769,196,0.2549,114/430=26.5%,82/339=24.2%,yizi_today=19.0% | yizi_next_all=10.0% | height{2:487;3:162;4:80;5:20;6:14;7:2;10:3;14:1} | themes=106 | dates=86
tradable_zt,NOT is_sub_high & lag0,769,196,0.2549,114/430=26.5%,82/339=24.2%,yizi_today=19.0% | yizi_next_all=10.0% | height{2:487;3:162;4:80;5:20;6:14;7:2;10:3;14:1} | themes=106 | dates=86
tradable_zt,NOT leader_baoliang & NOT own_baoliang,1397,356,0.2548,202/697=29.0%,154/700=22.0%,yizi_today=18.6% | yizi_next_all=10.2% | height{2:1016;3:187;4:89;5:43;6:27;7:17;8:8;9:1;10:3;11:1;12:2;13:1;14:1;15:1} | themes=121 | dates=105
tradable_zt,NOT leader_absent & NOT boards_ge5 & opened,840,214,0.2548,124/444=27.9%,90/396=22.7%,yizi_today=0.0% | yizi_next_all=2.0% | height{2:583;3:177;4:80} | themes=100 | dates=121
tradable_zt,NOT opened & NOT own_baoliang & NOT href_le1,840,214,0.2548,135/488=27.7%,79/352=22.4%,yizi_today=39.9% | yizi_next_all=18.6% | height{2:661;3:121;4:39;5:10;6:5;7:2;8:2} | themes=104 | dates=172
tradable_zt,ALL,2736,697,0.2548,398/1476=27.0%,299/1260=23.7%,yizi_today=18.7% | yizi_next_all=9.8% | height{2:1771;3:526;4:237;5:95;6:46;7:25;8:15;9:5;10:4;11:2;12:2;13:2;14:2;15:1;16:1;17:1;18:1} | themes=150 | dates=207
tradable_zt,NOT opened & NOT is_fanbao & own_baoliang,106,27,0.2547,16/67=23.9%,11/39=28.2%,yizi_today=53%_not_buyable | yizi_today=52.8% | yizi_next_all=27.4% | height{3:47;4:29;5:9;6:6;7:3;8:3;9:4;10:1;13:1;14:1;16:1;17:1} | themes=35 | dates=82
tradable_zt,NOT height_drop & NOT theme_alive_own,326,83,0.2546,47/170=27.6%,36/156=23.1%,yizi_today=14.1% | yizi_next_all=7.1% | height{2:218;3:64;4:20;5:11;6:5;7:3;8:3;9:1;18:1} | themes=104 | dates=137
tradable_zt,NOT leader_absent & NOT one_price_today & NOT theme_alive_own,220,56,0.2545,35/119=29.4%,21/101=20.8%,yizi_today=0.0% | yizi_next_all=1.8% | height{2:150;3:38;4:15;5:8;6:2;7:2;8:3;9:1;18:1} | themes=87 | dates=105
tradable_zt,NOT same_theme_baoliang,2491,634,0.2545,368/1348=27.3%,266/1143=23.3%,yizi_today=18.4% | yizi_next_all=9.8% | height{2:1688;3:466;4:194;5:72;6:31;7:18;8:10;9:3;10:3;11:1;12:2;13:1;14:1;15:1} | themes=148 | dates=207
tradable_zt,NOT height_drop & NOT height_new_high,1682,428,0.2545,222/845=26.3%,206/837=24.6%,yizi_today=18.0% | yizi_next_all=9.4% | height{2:1097;3:312;4:151;5:61;6:31;7:19;8:7;11:1;12:1;13:1;14:1} | themes=123 | dates=127
tradable_zt,NOT one_price_today & NOT opened & href_le1,169,43,0.2544,15/57=26.3%,28/112=25.0%,yizi_today=0.0% | yizi_next_all=5.9% | height{2:79;3:41;4:27;5:11;6:5;7:3;8:3} | themes=51 | dates=83
tradable_zt,NOT leader_absent & NOT boards_ge5 & href_le1,114,29,0.2544,11/49=22.4%,18/65=27.7%,yizi_today=17.5% | yizi_next_all=8.8% | height{2:10;3:51;4:53} | themes=40 | dates=37
tradable_zt,prev_leader_baoliang & theme_alive,460,117,0.2543,44/170=25.9%,73/290=25.2%,yizi_today=15.4% | yizi_next_all=6.7% | height{2:340;3:68;4:41;5:8;6:2;7:1} | themes=72 | dates=38
tradable_zt,NOT leader_absent & NOT is_new_high & NOT own_baoliang,1329,338,0.2543,199/724=27.5%,139/605=23.0%,yizi_today=19.3% | yizi_next_all=10.2% | height{2:1033;3:203;4:62;5:19;6:7;7:3;8:2} | themes=117 | dates=120
tradable_zt,NOT height_drop,2033,517,0.2543,294/1116=26.3%,223/917=24.3%,yizi_today=18.8% | yizi_next_all=10.0% | height{2:1300;3:389;4:178;5:73;6:36;7:23;8:15;9:5;10:2;11:2;12:2;13:2;14:2;15:1;16:1;17:1;18:1} | themes=132 | dates=149
tradable_zt,leader_baoliang & theme_alive_own,991,252,0.2543,145/571=25.4%,107/420=25.5%,yizi_today=19.8% | yizi_next_all=9.4% | height{2:610;3:218;4:97;5:32;6:15;7:7;8:4;9:2;10:1;11:1;13:1;14:1;16:1;17:1} | themes=83 | dates=102
tradable_zt,height_new_high & NOT is_sub_high,350,89,0.2543,72/270=26.7%,17/80=21.2%,yizi_today=22.6% | yizi_next_all=13.1% | height{2:203;3:77;4:26;5:12;6:5;7:4;8:8;9:5;10:2;11:1;12:1;13:1;14:1;15:1;16:1;17:1;18:1} | themes=65 | dates=22
tradable_zt,prev_leader_baoliang & NOT own_baoliang,1113,283,0.2543,156/581=26.9%,127/532=23.9%,yizi_today=18.6% | yizi_next_all=9.2% | height{2:868;3:130;4:68;5:22;6:12;7:6;8:2;9:1;10:1;11:1;12:1;15:1} | themes=115 | dates=101
tradable_zt,NOT height_drop & theme_alive_own,1707,434,0.2542,247/946=26.1%,187/761=24.6%,yizi_today=19.7% | yizi_next_all=10.6% | height{2:1082;3:325;4:158;5:62;6:31;7:20;8:12;9:4;10:2;11:2;12:2;13:2;14:2;15:1;16:1;17:1} | themes=94 | dates=149
tradable_zt,same_theme_broken & theme_alive_own & href_le1,59,15,0.2542,4/18=22.2%,11/41=26.8%,yizi_today=13.6% | yizi_next_all=8.5% | height{2:26;3:21;4:8;5:3;10:1} | themes=17 | dates=31
tradable_zt,height_new_high & NOT boards_ge5,307,78,0.2541,63/236=26.7%,15/71=21.1%,yizi_today=20.5% | yizi_next_all=10.4% | height{2:203;3:77;4:27} | themes=63 | dates=22
tradable_zt,is_new_high & boards_ge5 & NOT opened,63,16,0.2540,7/36=19.4%,9/27=33.3%,yizi_today=73%_not_buyable | yizi_today=73.0% | yizi_next_all=38.1% | height{5:20;6:14;7:10;8:6;9:2;10:3;11:1;12:1;13:1;14:2;15:1;16:1;17:1} | themes=19 | dates=62
tradable_zt,NOT href_le1 & NOT same_theme_baoliang,1930,490,0.2539,302/1098=27.5%,188/832=22.6%,yizi_today=17.7% | yizi_next_all=9.8% | height{2:1432;3:335;4:116;5:32;6:8;7:2;8:3;9:2} | themes=137 | dates=177
tradable_zt,theme_alive_own & NOT own_baoliang & href_le1,453,115,0.2539,51/187=27.3%,64/266=24.1%,yizi_today=21.4% | yizi_next_all=9.7% | height{2:228;3:86;4:60;5:32;6:18;7:14;8:6;10:3;11:1;12:2;13:1;14:1;15:1} | themes=54 | dates=150
tradable_zt,NOT leader_absent & opened & NOT href_le1,792,201,0.2538,123/437=28.1%,78/355=22.0%,yizi_today=0.0% | yizi_next_all=2.4% | height{2:577;3:145;4:49;5:16;6:4;8:1} | themes=98 | dates=118
tradable_zt,NOT leader_absent & NOT boards_ge5 & NOT own_baoliang,1324,336,0.2538,195/706=27.6%,141/618=22.8%,yizi_today=18.9% | yizi_next_all=9.8% | height{2:1033;3:207;4:84} | themes=116 | dates=121
tradable_zt,NOT boards_ge5 & NOT opened & NOT href_le1,863,219,0.2538,135/496=27.2%,84/367=22.9%,yizi_today=39.5% | yizi_next_all=18.2% | height{2:661;3:151;4:51} | themes=107 | dates=172
tradable_zt,NOT theme_alive & is_mid_2_3,1478,375,0.2537,248/928=26.7%,127/550=23.1%,yizi_today=18.7% | yizi_next_all=9.9% | height{2:1120;3:358} | themes=131 | dates=135
tradable_zt,leader_absent & NOT opened & NOT is_fanbao,473,120,0.2537,79/264=29.9%,41/209=19.6%,yizi_today=40.2% | yizi_next_all=16.7% | height{2:309;3:98;4:46;5:11;6:5;7:1;10:2;14:1} | themes=83 | dates=86
tradable_zt,height_new_high,351,89,0.2536,72/271=26.6%,17/80=21.2%,yizi_today=22.8% | yizi_next_all=13.1% | height{2:203;3:77;4:27;5:12;6:5;7:4;8:8;9:5;10:2;11:1;12:1;13:1;14:1;15:1;16:1;17:1;18:1} | themes=65 | dates=22
tradable_zt,NOT height_drop & height_new_high,351,89,0.2536,72/271=26.6%,17/80=21.2%,yizi_today=22.8% | yizi_next_all=13.1% | height{2:203;3:77;4:27;5:12;6:5;7:4;8:8;9:5;10:2;11:1;12:1;13:1;14:1;15:1;16:1;17:1;18:1} | themes=65 | dates=22
tradable_zt,leader_absent & href_le1,501,127,0.2535,56/218=25.7%,71/283=25.1%,yizi_today=19.0% | yizi_next_all=8.2% | height{2:267;3:126;4:66;5:21;6:15;7:2;10:3;14:1} | themes=76 | dates=86
tradable_zt,href_le1 & lag0,501,127,0.2535,56/218=25.7%,71/283=25.1%,yizi_today=19.0% | yizi_next_all=8.2% | height{2:267;3:126;4:66;5:21;6:15;7:2;10:3;14:1} | themes=76 | dates=86
tradable_zt,theme_alive_own & NOT href_le1,1677,425,0.2534,263/971=27.1%,162/706=22.9%,yizi_today=18.4% | yizi_next_all=10.3% | height{2:1239;3:287;4:107;5:28;6:9;7:2;8:3;9:2} | themes=96 | dates=177
tradable_zt,NOT is_new_high & theme_alive_own & NOT href_le1,1677,425,0.2534,263/971=27.1%,162/706=22.9%,yizi_today=18.4% | yizi_next_all=10.3% | height{2:1239;3:287;4:107;5:28;6:9;7:2;8:3;9:2} | themes=96 | dates=177
tradable_zt,leader_absent & NOT leader_baoliang,442,112,0.2534,58/190=30.5%,54/252=21.4%,yizi_today=16.5% | yizi_next_all=9.5% | height{2:307;3:76;4:34;5:15;6:7;7:1;10:2} | themes=84 | dates=33
tradable_zt,NOT leader_baoliang & lag0,442,112,0.2534,58/190=30.5%,54/252=21.4%,yizi_today=16.5% | yizi_next_all=9.5% | height{2:307;3:76;4:34;5:15;6:7;7:1;10:2} | themes=84 | dates=33
tradable_zt,NOT leader_absent & theme_alive_own & opened,758,192,0.2533,108/404=26.7%,84/354=23.7%,yizi_today=0.0% | yizi_next_all=2.6% | height{2:480;3:146;4:68;5:29;6:16;7:11;8:5;11:1;12:1;13:1} | themes=74 | dates=121
tradable_zt,prev_leader_baoliang & opened,707,179,0.2532,93/360=25.8%,86/347=24.8%,yizi_today=0.0% | yizi_next_all=2.1% | height{2:485;3:125;4:53;5:22;6:11;7:5;8:3;9:1;12:1;18:1} | themes=98 | dates=101
tradable_zt,prev_leader_baoliang & NOT unopened,707,179,0.2532,93/360=25.8%,86/347=24.8%,yizi_today=0.0% | yizi_next_all=2.1% | height{2:485;3:125;4:53;5:22;6:11;7:5;8:3;9:1;12:1;18:1} | themes=98 | dates=101
tradable_zt,NOT leader_absent & is_sub_high,79,20,0.2532,9/38=23.7%,11/41=26.8%,yizi_today=19.0% | yizi_next_all=10.1% | height{2:10;3:44;4:18;5:6;7:1} | themes=34 | dates=41
tradable_zt,is_sub_high & NOT lag0,79,20,0.2532,9/38=23.7%,11/41=26.8%,yizi_today=19.0% | yizi_next_all=10.1% | height{2:10;3:44;4:18;5:6;7:1} | themes=34 | dates=41
tradable_zt,NOT leader_absent & NOT is_new_high & href_le1,79,20,0.2532,9/38=23.7%,11/41=26.8%,yizi_today=19.0% | yizi_next_all=10.1% | height{2:10;3:44;4:18;5:6;7:1} | themes=34 | dates=41
tradable_zt,leader_absent & NOT is_fanbao & href_le1,478,121,0.2531,55/215=25.6%,66/263=25.1%,yizi_today=19.7% | yizi_next_all=8.6% | height{2:252;3:121;4:63;5:21;6:15;7:2;10:3;14:1} | themes=76 | dates=86
tradable_zt,NOT is_fanbao & NOT href_le1,1932,489,0.2531,311/1147=27.1%,178/785=22.7%,yizi_today=18.0% | yizi_next_all=10.1% | height{2:1425;3:340;4:118;5:33;6:9;7:2;8:3;9:2} | themes=138 | dates=177
tradable_zt,NOT is_new_high & NOT is_fanbao & NOT href_le1,1932,489,0.2531,311/1147=27.1%,178/785=22.7%,yizi_today=18.0% | yizi_next_all=10.1% | height{2:1425;3:340;4:118;5:33;6:9;7:2;8:3;9:2} | themes=138 | dates=177
tradable_zt,to_hi & opened & NOT one_price_today,510,129,0.2529,70/268=26.1%,59/242=24.4%,yizi_today=0.0% | yizi_next_all=1.2% | height{2:280;3:113;4:58;5:27;6:16;7:8;8:4;9:1;11:1;12:1;18:1} | themes=91 | dates=203
tradable_zt,NOT height_drop & NOT href_le1,1637,414,0.2529,245/921=26.6%,169/716=23.6%,yizi_today=18.1% | yizi_next_all=10.1% | height{2:1198;3:294;4:100;5:29;6:9;7:2;8:3;9:2} | themes=124 | dates=139
tradable_zt,NOT same_theme_broken & NOT boards_ge5,2376,600,0.2525,340/1275=26.7%,260/1101=23.6%,yizi_today=17.7% | yizi_next_all=9.1% | height{2:1655;3:496;4:225} | themes=149 | dates=207
tradable_zt,NOT leader_absent & NOT own_baoliang & NOT href_le1,1280,323,0.2523,193/703=27.5%,130/577=22.5%,yizi_today=19.0% | yizi_next_all=10.2% | height{2:1023;3:179;4:51;5:16;6:7;7:2;8:2} | themes=114 | dates=118
tradable_zt,leader_baoliang & NOT prev_leader_baoliang,642,162,0.2523,93/347=26.8%,69/295=23.4%,yizi_today=19.2% | yizi_next_all=10.3% | height{2:392;3:152;4:54;5:19;6:11;7:4;8:5;10:1;11:1;13:1;14:1;16:1} | themes=95 | dates=51
tradable_zt,height_drop & NOT opened,325,82,0.2523,54/178=30.3%,28/147=19.0%,yizi_today=39.4% | yizi_next_all=16.3% | height{2:215;3:65;4:29;5:9;6:4;7:1;10:2} | themes=74 | dates=58
tradable_zt,height_drop & unopened,325,82,0.2523,54/178=30.3%,28/147=19.0%,yizi_today=39.4% | yizi_next_all=16.3% | height{2:215;3:65;4:29;5:9;6:4;7:1;10:2} | themes=74 | dates=58
tradable_zt,theme_alive_own & NOT boards_ge5 & NOT href_le1,1633,412,0.2523,252/931=27.1%,160/702=22.8%,yizi_today=17.8% | yizi_next_all=9.6% | height{2:1239;3:287;4:107} | themes=96 | dates=177
tradable_zt,NOT boards_ge5 & NOT is_fanbao & NOT href_le1,1883,475,0.2523,299/1102=27.1%,176/781=22.5%,yizi_today=17.6% | yizi_next_all=9.7% | height{2:1425;3:340;4:118} | themes=138 | dates=177
tradable_zt,leader_baoliang & NOT same_theme_broken,1118,282,0.2522,165/654=25.2%,117/464=25.2%,yizi_today=19.4% | yizi_next_all=9.5% | height{2:693;3:244;4:108;5:34;6:17;7:8;8:6;9:2;11:1;13:1;14:1;16:1;17:1;18:1} | themes=116 | dates=102
tradable_zt,NOT height_drop & NOT leader_baoliang,1237,312,0.2522,176/632=27.8%,136/605=22.5%,yizi_today=18.1% | yizi_next_all=10.0% | height{2:815;3:215;4:103;5:45;6:23;7:16;8:9;9:3;10:2;11:1;12:2;13:1;14:1;15:1} | themes=107 | dates=82
tradable_zt,theme_alive_own & same_theme_baoliang,226,57,0.2522,26/114=22.8%,31/112=27.7%,yizi_today=22.1% | yizi_next_all=10.2% | height{2:83;3:53;4:40;5:20;6:13;7:6;8:3;9:2;10:1;11:1;13:1;14:1;16:1;17:1} | themes=33 | dates=89
tradable_zt,NOT height_drop & NOT prev_leader_baoliang,1027,259,0.2522,150/570=26.3%,109/457=23.9%,yizi_today=20.0% | yizi_next_all=10.6% | height{2:627;3:221;4:85;5:39;6:21;7:14;8:11;9:1;10:1;11:1;12:1;13:2;14:2;16:1} | themes=101 | dates=72
tradable_zt,NOT prev_leader_baoliang & href_le1,345,87,0.2522,34/139=24.5%,53/206=25.7%,yizi_today=22.3% | yizi_next_all=12.2% | height{2:116;3:89;4:51;5:34;6:22;7:14;8:9;10:3;11:1;12:1;13:2;14:2;16:1} | themes=66 | dates=106
tradable_zt,NOT prev_leader_baoliang & NOT is_sub_high,1278,322,0.2520,195/720=27.1%,127/558=22.8%,yizi_today=19.5% | yizi_next_all=11.0% | height{2:796;3:265;4:108;5:45;6:28;7:14;8:11;9:1;10:3;11:1;12:1;13:2;14:2;16:1} | themes=116 | dates=106
tradable_zt,height_drop & NOT boards_ge5,667,168,0.2519,95/330=28.8%,73/337=21.7%,yizi_today=17.7% | yizi_next_all=8.7% | height{2:471;3:137;4:59} | themes=95 | dates=58
tradable_zt,leader_absent & NOT is_new_high & NOT opened,405,102,0.2519,69/228=30.3%,33/177=18.6%,yizi_today=35.3% | yizi_next_all=14.1% | height{2:316;3:64;4:17;5:8} | themes=79 | dates=83
tradable_zt,NOT leader_absent & NOT is_new_high & opened,838,211,0.2518,126/456=27.6%,85/382=22.3%,yizi_today=0.0% | yizi_next_all=2.4% | height{2:583;3:173;4:58;5:18;6:4;7:1;8:1} | themes=99 | dates=121
tradable_zt,NOT height_new_high & NOT href_le1,1684,424,0.2518,246/898=27.4%,178/786=22.6%,yizi_today=17.0% | yizi_next_all=9.3% | height{2:1291;3:272;4:92;5:24;6:5} | themes=132 | dates=155
tradable_zt,height_drop & theme_alive,421,106,0.2518,51/178=28.7%,55/243=22.6%,yizi_today=16.2% | yizi_next_all=6.9% | height{2:283;3:81;4:38;5:10;6:7;10:2} | themes=74 | dates=33
tradable_zt,theme_alive_own & NOT boards_ge5 & NOT is_fanbao,1998,503,0.2518,296/1110=26.7%,207/888=23.3%,yizi_today=18.2% | yizi_next_all=9.6% | height{2:1383;3:417;4:198} | themes=103 | dates=207
tradable_zt,is_mid_2_3 & same_theme_baoliang,143,36,0.2517,16/67=23.9%,20/76=26.3%,yizi_today=17.5% | yizi_next_all=8.4% | height{2:83;3:60} | themes=33 | dates=67
tradable_zt,NOT boards_ge5 & NOT same_theme_baoliang,2348,591,0.2517,340/1250=27.2%,251/1098=22.9%,yizi_today=17.5% | yizi_next_all=9.1% | height{2:1688;3:466;4:194} | themes=147 | dates=207
tradable_zt,prev_leader_baoliang & is_mid_2_3,1081,272,0.2516,142/558=25.4%,130/523=24.9%,yizi_today=16.6% | yizi_next_all=8.2% | height{2:868;3:213} | themes=113 | dates=101
tradable_zt,NOT href_le1,2011,506,0.2516,312/1151=27.1%,194/860=22.6%,yizi_today=17.8% | yizi_next_all=9.8% | height{2:1494;3:349;4:118;5:34;6:9;7:2;8:3;9:2} | themes=138 | dates=177
tradable_zt,NOT is_new_high & NOT is_sub_high,2011,506,0.2516,312/1151=27.1%,194/860=22.6%,yizi_today=17.8% | yizi_next_all=9.8% | height{2:1494;3:349;4:118;5:34;6:9;7:2;8:3;9:2} | themes=138 | dates=177
tradable_zt,NOT is_new_high & NOT href_le1,2011,506,0.2516,312/1151=27.1%,194/860=22.6%,yizi_today=17.8% | yizi_next_all=9.8% | height{2:1494;3:349;4:118;5:34;6:9;7:2;8:3;9:2} | themes=138 | dates=177
tradable_zt,NOT is_sub_high & NOT href_le1,2011,506,0.2516,312/1151=27.1%,194/860=22.6%,yizi_today=17.8% | yizi_next_all=9.8% | height{2:1494;3:349;4:118;5:34;6:9;7:2;8:3;9:2} | themes=138 | dates=177
tradable_zt,NOT height_new_high & theme_alive_own,1982,498,0.2513,265/999=26.5%,233/983=23.7%,yizi_today=18.1% | yizi_next_all=9.4% | height{2:1299;3:363;4:182;5:74;6:35;7:18;8:5;10:2;11:1;12:1;13:1;14:1} | themes=100 | dates=185
tradable_zt,height_new_high & NOT prev_leader_baoliang,207,52,0.2512,38/143=26.6%,14/64=21.9%,yizi_today=22.7% | yizi_next_all=14.0% | height{2:116;3:52;4:14;5:8;6:3;7:2;8:6;9:1;10:1;11:1;13:1;14:1;16:1} | themes=54 | dates=12
tradable_zt,theme_alive_own & NOT is_fanbao & NOT own_baoliang,1879,472,0.2512,284/1049=27.1%,188/830=22.7%,yizi_today=19.9% | yizi_next_all=10.7% | height{2:1383;3:272;4:120;5:46;6:25;7:16;8:8;10:3;11:1;12:2;13:1;14:1;15:1} | themes=102 | dates=207
tradable_zt,NOT leader_baoliang & is_mid_2_3,1278,321,0.2512,178/620=28.7%,143/658=21.7%,yizi_today=16.3% | yizi_next_all=8.8% | height{2:1016;3:262} | themes=120 | dates=105
tradable_zt,NOT is_sub_high & NOT own_baoliang,2031,510,0.2511,303/1113=27.2%,207/918=22.5%,yizi_today=19.7% | yizi_next_all=10.5% | height{2:1510;3:283;4:125;5:48;6:29;7:17;8:9;9:1;10:3;11:1;12:2;13:1;14:1;15:1} | themes=139 | dates=203
tradable_zt,NOT is_fanbao & NOT boards_ge5,2426,609,0.2510,356/1333=26.7%,253/1093=23.1%,yizi_today=17.9% | yizi_next_all=9.3% | height{2:1687;3:511;4:228} | themes=149 | dates=207
tradable_zt,NOT prev_leader_baoliang & theme_alive_own,1235,310,0.2510,184/678=27.1%,126/557=22.6%,yizi_today=19.6% | yizi_next_all=11.0% | height{2:757;3:258;4:112;5:46;6:27;7:14;8:10;9:1;10:3;11:1;12:1;13:2;14:2;16:1} | themes=88 | dates=106
tradable_zt,NOT leader_absent & NOT one_price_today,1319,331,0.2509,186/689=27.0%,145/630=23.0%,yizi_today=0.0% | yizi_next_all=3.1% | height{2:887;3:218;4:114;5:48;6:22;7:15;8:10;9:1;11:1;12:1;13:1;18:1} | themes=116 | dates=121
tradable_zt,NOT one_price_today & NOT lag0,1319,331,0.2509,186/689=27.0%,145/630=23.0%,yizi_today=0.0% | yizi_next_all=3.1% | height{2:887;3:218;4:114;5:48;6:22;7:15;8:10;9:1;11:1;12:1;13:1;18:1} | themes=116 | dates=121
tradable_zt,NOT boards_ge5 & NOT href_le1,1961,492,0.2509,300/1106=27.1%,192/855=22.5%,yizi_today=17.4% | yizi_next_all=9.3% | height{2:1494;3:349;4:118} | themes=138 | dates=177
tradable_zt,NOT is_new_high & NOT boards_ge5 & NOT href_le1,1961,492,0.2509,300/1106=27.1%,192/855=22.5%,yizi_today=17.4% | yizi_next_all=9.3% | height{2:1494;3:349;4:118} | themes=138 | dates=177
tradable_zt,NOT theme_alive & NOT one_price_today,1435,360,0.2509,228/884=25.8%,132/551=24.0%,yizi_today=0.0% | yizi_next_all=3.8% | height{2:944;3:258;4:124;5:51;6:27;7:16;8:10;9:1;11:1;12:1;13:1;18:1} | themes=127 | dates=135
tradable_zt,height_new_high & NOT href_le1,327,82,0.2508,66/253=26.1%,16/74=21.6%,yizi_today=21.7% | yizi_next_all=12.5% | height{2:203;3:77;4:26;5:10;6:4;7:2;8:3;9:2} | themes=65 | dates=22
