definition,filters,n,wins,rate,half1,half2,notes
promote,NOT is_new_high & boards_ge5 & NOT opened,35,25,0.7143,22/30=73.3%,3/5=60.0%,yizi_today=60%_not_buyable | wins_are_yizi_next=52% | yizi_today=60.0% | yizi_next_all=37.1% | height{5:24;6:5;7:2;8:2;9:2} | themes=16 | dates=25
promote,NOT theme_alive & one_price_today,363,259,0.7135,190/266=71.4%,69/97=71.1%,yizi_today=100%_not_buyable | wins_are_yizi_next=56% | yizi_today=100.0% | yizi_next_all=39.7% | height{2:176;3:100;4:32;5:21;6:9;7:8;8:5;9:4;10:1;11:1;12:1;13:1;14:1;15:1;16:1;17:1} | themes=57 | dates=121
promote,amt_lo & one_price_today & boards_ge4,104,74,0.7115,52/75=69.3%,22/29=75.9%,yizi_today=100%_not_buyable | wins_are_yizi_next=66% | yizi_today=100.0% | yizi_next_all=47.1% | height{4:50;5:22;6:11;7:8;8:4;9:2;10:2;11:1;12:1;13:1;14:1;15:1} | themes=28 | dates=83
promote,one_price_today & theme_alive_own & NOT href_le1,308,219,0.7110,152/215=70.7%,67/93=72.0%,yizi_today=100%_not_buyable | wins_are_yizi_next=55% | yizi_today=100.0% | yizi_next_all=39.3% | height{2:180;3:86;4:25;5:7;6:4;7:2;8:2;9:2} | themes=48 | dates=135
promote,NOT leader_baoliang & one_price_today,276,196,0.7101,131/183=71.6%,65/93=69.9%,yizi_today=100%_not_buyable | wins_are_yizi_next=58% | yizi_today=100.0% | yizi_next_all=40.9% | height{2:138;3:70;4:28;5:17;6:7;7:6;8:2;9:2;10:2;11:1;12:1;14:1;15:1} | themes=54 | dates=93
promote,one_price_today & NOT is_fanbao & NOT href_le1,348,247,0.7098,167/241=69.3%,80/107=74.8%,yizi_today=100%_not_buyable | wins_are_yizi_next=56% | yizi_today=100.0% | yizi_next_all=39.9% | height{2:203;3:102;4:27;5:6;6:4;7:2;8:2;9:2} | themes=60 | dates=146
promote,boards_ge5 & NOT opened & own_baoliang,31,22,0.7097,18/23=78.3%,4/8=50.0%,yizi_today=71%_not_buyable | wins_are_yizi_next=59% | yizi_today=71.0% | yizi_next_all=41.9% | height{5:10;6:6;7:3;8:3;9:4;10:1;13:1;14:1;16:1;17:1} | themes=14 | dates=28
promote,one_price_today & NOT href_le1,358,253,0.7067,168/243=69.1%,85/115=73.9%,yizi_today=100%_not_buyable | wins_are_yizi_next=56% | yizi_today=100.0% | yizi_next_all=39.4% | height{2:212;3:102;4:27;5:7;6:4;7:2;8:2;9:2} | themes=61 | dates=147
promote,one_price_today & NOT is_new_high & NOT href_le1,358,253,0.7067,168/243=69.1%,85/115=73.9%,yizi_today=100%_not_buyable | wins_are_yizi_next=56% | yizi_today=100.0% | yizi_next_all=39.4% | height{2:212;3:102;4:27;5:7;6:4;7:2;8:2;9:2} | themes=61 | dates=147
promote,one_price_today & NOT opened & NOT href_le1,358,253,0.7067,168/243=69.1%,85/115=73.9%,yizi_today=100%_not_buyable | wins_are_yizi_next=56% | yizi_today=100.0% | yizi_next_all=39.4% | height{2:212;3:102;4:27;5:7;6:4;7:2;8:2;9:2} | themes=61 | dates=147
promote,one_price_today & own_baoliang & href_le1,34,24,0.7059,17/21=81.0%,7/13=53.8%,yizi_today=100%_not_buyable | wins_are_yizi_next=62% | yizi_today=100.0% | yizi_next_all=44.1% | height{3:10;4:6;5:3;6:4;7:2;8:2;9:2;10:1;13:1;14:1;16:1;17:1} | themes=11 | dates=32
promote,one_price_today & NOT is_new_high & theme_alive_own,359,253,0.7047,179/253=70.8%,74/106=69.8%,yizi_today=100%_not_buyable | wins_are_yizi_next=53% | yizi_today=100.0% | yizi_next_all=37.6% | height{2:204;3:104;4:31;5:10;6:4;7:2;8:2;9:2} | themes=51 | dates=153
promote,one_price_today & NOT own_baoliang & NOT href_le1,335,236,0.7045,157/228=68.9%,79/107=73.8%,yizi_today=100%_not_buyable | wins_are_yizi_next=55% | yizi_today=100.0% | yizi_next_all=38.5% | height{2:212;3:88;4:22;5:5;6:4;7:2;8:2} | themes=61 | dates=145
promote,one_price_today & NOT same_theme_baoliang,458,322,0.7031,211/301=70.1%,111/157=70.7%,yizi_today=100%_not_buyable | wins_are_yizi_next=53% | yizi_today=100.0% | yizi_next_all=37.6% | height{2:233;3:128;4:49;5:22;6:8;7:7;8:3;9:2;10:2;11:1;12:1;14:1;15:1} | themes=65 | dates=181
promote,one_price_today & NOT is_new_high & NOT is_fanbao,408,286,0.7010,196/282=69.5%,90/126=71.4%,yizi_today=100%_not_buyable | wins_are_yizi_next=55% | yizi_today=100.0% | yizi_next_all=38.2% | height{2:232;3:122;4:34;5:10;6:4;7:2;8:2;9:2} | themes=64 | dates=167
promote,one_price_today & theme_alive_own & own_baoliang,50,35,0.7000,23/30=76.7%,12/20=60.0%,yizi_today=100%_not_buyable | wins_are_yizi_next=69% | yizi_today=100.0% | yizi_next_all=48.0% | height{3:20;4:10;5:5;6:3;7:1;8:2;9:4;10:1;13:1;14:1;16:1;17:1} | themes=16 | dates=44
promote,one_price_today & theme_alive_own & NOT is_fanbao,423,296,0.6998,209/291=71.8%,87/132=65.9%,yizi_today=100%_not_buyable | wins_are_yizi_next=55% | yizi_today=100.0% | yizi_next_all=38.3% | height{2:196;3:119;4:48;5:22;6:10;7:8;8:5;9:4;10:3;11:1;12:1;13:1;14:2;15:1;16:1;17:1} | themes=50 | dates=168
promote,NOT is_new_high & one_price_today,419,293,0.6993,198/285=69.5%,95/134=70.9%,yizi_today=100%_not_buyable | wins_are_yizi_next=54% | yizi_today=100.0% | yizi_next_all=37.7% | height{2:242;3:122;4:34;5:11;6:4;7:2;8:2;9:2} | themes=65 | dates=168
promote,one_price_today & NOT is_new_high & NOT opened,419,293,0.6993,198/285=69.5%,95/134=70.9%,yizi_today=100%_not_buyable | wins_are_yizi_next=54% | yizi_today=100.0% | yizi_next_all=37.7% | height{2:242;3:122;4:34;5:11;6:4;7:2;8:2;9:2} | themes=65 | dates=168
promote,NOT height_new_high & one_price_today,431,301,0.6984,188/266=70.7%,113/165=68.5%,yizi_today=100%_not_buyable | wins_are_yizi_next=53% | yizi_today=100.0% | yizi_next_all=36.9% | height{2:208;3:122;4:51;5:24;6:11;7:7;8:2;10:2;11:1;12:1;13:1;14:1} | themes=58 | dates=166
promote,NOT same_theme_broken & one_price_today,484,338,0.6983,225/320=70.3%,113/164=68.9%,yizi_today=100%_not_buyable | wins_are_yizi_next=55% | yizi_today=100.0% | yizi_next_all=38.2% | height{2:229;3:136;4:55;5:23;6:13;7:9;8:5;9:4;10:2;11:1;12:1;13:1;14:2;15:1;16:1;17:1} | themes=66 | dates=183
promote,one_price_today & NOT boards_ge5 & NOT href_le1,341,238,0.6979,155/228=68.0%,83/113=73.5%,yizi_today=100%_not_buyable | wins_are_yizi_next=55% | yizi_today=100.0% | yizi_next_all=38.1% | height{2:212;3:102;4:27} | themes=60 | dates=146
promote,NOT is_sub_high & one_price_today,450,314,0.6978,207/295=70.2%,107/155=69.0%,yizi_today=100%_not_buyable | wins_are_yizi_next=56% | yizi_today=100.0% | yizi_next_all=39.1% | height{2:215;3:121;4:51;5:21;6:13;7:9;8:5;9:4;10:3;11:1;12:1;13:1;14:2;15:1;16:1;17:1} | themes=63 | dates=175
promote,theme_alive_own & one_price_today,435,303,0.6966,211/294=71.8%,92/141=65.2%,yizi_today=100%_not_buyable | wins_are_yizi_next=54% | yizi_today=100.0% | yizi_next_all=37.7% | height{2:206;3:119;4:48;5:24;6:10;7:8;8:5;9:4;10:3;11:1;12:1;13:1;14:2;15:1;16:1;17:1} | themes=51 | dates=169
promote,one_price_today & theme_alive_own & NOT opened,435,303,0.6966,211/294=71.8%,92/141=65.2%,yizi_today=100%_not_buyable | wins_are_yizi_next=54% | yizi_today=100.0% | yizi_next_all=37.7% | height{2:206;3:119;4:48;5:24;6:10;7:8;8:5;9:4;10:3;11:1;12:1;13:1;14:2;15:1;16:1;17:1} | themes=51 | dates=169
promote,one_price_today & theme_alive_own & NOT own_baoliang,385,268,0.6961,188/264=71.2%,80/121=66.1%,yizi_today=100%_not_buyable | wins_are_yizi_next=52% | yizi_today=100.0% | yizi_next_all=36.4% | height{2:206;3:99;4:38;5:19;6:7;7:7;8:3;10:2;11:1;12:1;14:1;15:1} | themes=51 | dates=165
promote,NOT is_mid_2_3 & one_price_today,125,87,0.6960,63/90=70.0%,24/35=68.6%,yizi_today=100%_not_buyable | wins_are_yizi_next=63% | yizi_today=100.0% | yizi_next_all=44.0% | height{4:58;5:25;6:13;7:9;8:5;9:4;10:3;11:1;12:1;13:1;14:2;15:1;16:1;17:1} | themes=30 | dates=92
promote,one_price_today & NOT is_fanbao,499,347,0.6954,235/334=70.4%,112/165=67.9%,yizi_today=100%_not_buyable | wins_are_yizi_next=55% | yizi_today=100.0% | yizi_next_all=38.3% | height{2:235;3:141;4:58;5:23;6:13;7:9;8:5;9:4;10:3;11:1;12:1;13:1;14:2;15:1;16:1;17:1} | themes=66 | dates=186
promote,one_price_today & NOT opened & NOT is_fanbao,499,347,0.6954,235/334=70.4%,112/165=67.9%,yizi_today=100%_not_buyable | wins_are_yizi_next=55% | yizi_today=100.0% | yizi_next_all=38.3% | height{2:235;3:141;4:58;5:23;6:13;7:9;8:5;9:4;10:3;11:1;12:1;13:1;14:2;15:1;16:1;17:1} | themes=66 | dates=186
