family,filters,outcome,n,wins,rate,h1_n,h1_w,h1,h2_n,h2_w,h2,claim
alt_plus,ge3_unopened_tn8+suc8,hold_flat,36,25,0.6944,16,11,0.6875,20,14,0.7000,False
alt_plus,ge3_unopened_tn8+suc8,hold_touch3,36,25,0.6944,16,10,0.6250,20,15,0.7500,False
alt_plus,ge3_unopened_tn8+suc8,open_up,32,11,0.3438,15,7,0.4667,17,4,0.2353,False
alt_plus,ge3_unopened_tn8+suc8,open_flat,32,16,0.5000,15,9,0.6000,17,7,0.4118,False
alt_plus,ge3_unopened_tn8+suc8,touch3,32,21,0.6562,15,9,0.6000,17,12,0.7059,False
alt_plus,ge3_unopened_tn8+suc8,hold_3d,36,22,0.6111,16,9,0.5625,20,13,0.6500,False
alt_plus,ge3_unopened_tn8+newh,maxc3,25,19,0.7600,7,3,0.4286,18,16,0.8889,False
alt_plus,ge3_unopened_tn8+newh,hold_close,25,16,0.6400,7,3,0.4286,18,13,0.7222,False
alt_plus,ge3_unopened_tn8+newh,hold_flat,25,16,0.6400,7,3,0.4286,18,13,0.7222,False
alt_plus,ge3_unopened_tn8+newh,hold_touch3,25,17,0.6800,7,3,0.4286,18,14,0.7778,False
alt_plus,ge3_unopened_tn8+newh,open_up,23,9,0.3913,7,2,0.2857,16,7,0.4375,False
alt_plus,ge3_unopened_tn8+newh,open_flat,23,11,0.4783,7,2,0.2857,16,9,0.5625,False
alt_plus,ge3_unopened_tn8+newh,touch3,23,15,0.6522,7,3,0.4286,16,12,0.7500,False
alt_plus,ge3_unopened_tn8+newh,hold_3d,25,15,0.6000,7,3,0.4286,18,12,0.6667,False
alt_plus,ge3_unopened_tn8+sub,maxc3,16,14,0.8750,7,6,0.8571,9,8,0.8889,False
alt_plus,ge3_unopened_tn8+sub,hold_close,16,12,0.7500,7,6,0.8571,9,6,0.6667,False
alt_plus,ge3_unopened_tn8+sub,hold_flat,16,12,0.7500,7,6,0.8571,9,6,0.6667,False
alt_plus,ge3_unopened_tn8+sub,hold_touch3,16,12,0.7500,7,4,0.5714,9,8,0.8889,False
alt_plus,ge3_unopened_tn8+sub,open_up,15,6,0.4000,7,4,0.5714,8,2,0.2500,False
alt_plus,ge3_unopened_tn8+sub,open_flat,15,6,0.4000,7,4,0.5714,8,2,0.2500,False
alt_plus,ge3_unopened_tn8+sub,touch3,15,11,0.7333,7,4,0.5714,8,7,0.8750,False
alt_plus,ge3_unopened_tn8+sub,hold_3d,15,10,0.6667,6,4,0.6667,9,6,0.6667,False
alt_plus,ge3_unopened_tn8+mid,maxc3,31,25,0.8065,10,7,0.7000,21,18,0.8571,False
alt_plus,ge3_unopened_tn8+mid,hold_close,31,20,0.6452,10,7,0.7000,21,13,0.6190,False
alt_plus,ge3_unopened_tn8+mid,hold_flat,31,20,0.6452,10,7,0.7000,21,13,0.6190,False
alt_plus,ge3_unopened_tn8+mid,hold_touch3,31,22,0.7097,10,6,0.6000,21,16,0.7619,False
alt_plus,ge3_unopened_tn8+mid,open_up,30,12,0.4000,10,5,0.5000,20,7,0.3500,False
alt_plus,ge3_unopened_tn8+mid,open_flat,30,13,0.4333,10,6,0.6000,20,7,0.3500,False
alt_plus,ge3_unopened_tn8+mid,touch3,30,21,0.7000,10,6,0.6000,20,15,0.7500,False
alt_plus,ge3_unopened_tn8+mid,hold_3d,31,15,0.4839,10,4,0.4000,21,11,0.5238,False
alt_plus,ge3_unopened_tn8+fanbao,maxc3,4,4,1.0000,0,0,,4,4,1.0000,False
alt_plus,ge3_unopened_tn8+fanbao,hold_close,4,4,1.0000,0,0,,4,4,1.0000,False
alt_plus,ge3_unopened_tn8+fanbao,hold_flat,4,4,1.0000,0,0,,4,4,1.0000,False
alt_plus,ge3_unopened_tn8+fanbao,hold_touch3,4,4,1.0000,0,0,,4,4,1.0000,False
alt_plus,ge3_unopened_tn8+fanbao,open_up,3,1,0.3333,0,0,,3,1,0.3333,False
alt_plus,ge3_unopened_tn8+fanbao,open_flat,3,2,0.6667,0,0,,3,2,0.6667,False
alt_plus,ge3_unopened_tn8+fanbao,touch3,3,3,1.0000,0,0,,3,3,1.0000,False
alt_plus,ge3_unopened_tn8+fanbao,hold_3d,4,3,0.7500,0,0,,4,3,0.7500,False
alt_plus,ge3_unopened_tn8+not_fanbao,maxc3,63,50,0.7937,32,24,0.7500,31,26,0.8387,False
alt_plus,ge3_unopened_tn8+not_fanbao,hold_close,63,41,0.6508,32,21,0.6562,31,20,0.6452,False
alt_plus,ge3_unopened_tn8+not_fanbao,hold_flat,63,41,0.6508,32,21,0.6562,31,20,0.6452,False
alt_plus,ge3_unopened_tn8+not_fanbao,hold_touch3,63,42,0.6667,32,20,0.6250,31,22,0.7097,False
